Run name,CPU,RAM,GPU
WORM_CAI_RUN1,AMD Ryzen 7 8845HS,16 GB,NVIDIA RTX 4060
WORM_NORMAL_RUN1,AMD Ryzen 7 8845HS,16 GB,NVIDIA RTX 4060
WORM_SAC_NORMAL_RUN2,AMD Ryzen 7 8845HS,16 GB,NVIDIA RTX 4060
WORM_SAC_HAARNOJA_RUN1,AMD Ryzen 7 8845HS,16 GB,NVIDIA RTX 4060
WORM_SCHULMAN_MUJOCO_RUN1,AMD Ryzen 7 8845HS,16 GB,NVIDIA RTX 4060
WORM_SCHULMAN_ROBOSCHOOL_RUN1,AMD Ryzen 7 8845HS,16 GB,NVIDIA RTX 4060
WORM_ZHANG_RUN1,AMD Ryzen 7 8845HS,16 GB,NVIDIA RTX 4060
SOCCERTWOS_NORMAL_RUN1,AMD Ryzen 7 8845HS,16 GB,NVIDIA RTX 4060
SOCCERTWOS_COMMUNITY_RUN1,AMD Ryzen 7 8845HS,16 GB,NVIDIA RTX 4060
SOCCERTWOS_SMALL_RUN2,AMD Ryzen 7 8845HS,16 GB,NVIDIA RTX 4060
SOCCERTWOS_STABLE_RUN1,AMD Ryzen 7 8845HS,16 GB,NVIDIA RTX 4060
WORM_CAI_RUN2,Intel Core i7-13700H,16 GB,NVIDIA RTX 3060
WORM_CAI_RUN3,Intel Core i7-13700H,16 GB,NVIDIA RTX 3060
WORM_CAI_RUN4,Intel Core i7-13700H,16 GB,NVIDIA RTX 3060
WORM_CAI_RUN5,Intel Core i7-13700H,16 GB,NVIDIA RTX 3060
WORM_SCHULMAN_MUJOCO_RUN2,Intel Core i7-13700H,16 GB,NVIDIA RTX 3060
WORM_SCHULMAN_MUJOCO_RUN3,Intel Core i7-13700H,16 GB,NVIDIA RTX 3060
WORM_ZHANG_RUN2,Intel Core i7-13700H,16 GB,NVIDIA RTX 3060
WORM_ZHANG_RUN3,Intel Core i7-13700H,16 GB,NVIDIA RTX 3060
WORM_ZHANG_RUN4,Intel Core i7-13700H,16 GB,NVIDIA RTX 3060
WORM_ZHANG_RUN5,Intel Core i7-13700H,16 GB,NVIDIA RTX 3060
WORM_NORMAL_RUN2,Intel Core i7-13700H,16 GB,NVIDIA RTX 3060
WORM_NORMAL_RUN3,Intel Core i7-13700H,16 GB,NVIDIA RTX 3060
WORM_NORMAL_RUN4,Intel Core i7-13700H,16 GB,NVIDIA RTX 3060
WORM_NORMAL_RUN5,Intel Core i7-13700H,16 GB,NVIDIA RTX 3060
