step,mean_reward,mean_group_reward,std_reward,time_elapsed,run_id,environment,algorithm,memory_usage_avg_mb,memory_usage_peak_mb,cpu_usage_avg_mb,cpu_usage_peak_mb,gpu_usage_avg_mb,gpu_usage_peak_mb
10000,0.0,-0.016,,42.556,SCTWRUN3,unknown,poca,751.4620028409091,970.265625,71.30000000000001,1270.5,,
20000,0.0,0.073,,77.849,SCTWRUN3,unknown,poca,862.0502373417721,1029.296875,62.17215189873416,1270.5,,
30000,0.0,-0.182,,93.739,SCTWRUN3,unknown,poca,893.9837171052632,1063.09375,60.4115789473684,1270.5,,
40000,0.0,0.073,,252.822,SCTWRUN3,unknown,poca,1066.9415355960266,1765.578125,73.5503311258278,1270.5,,
50000,0.0,-0.098,,1215.355,SCTWRUN3,unknown,poca,1061.9780585106382,1765.578125,69.77127659574467,1270.5,,
60000,0.0,-0.157,,1473.385,SCTWRUN3,unknown,poca,1055.9300717213114,1765.578125,65.72704918032785,1270.5,,
70000,0.0,-0.098,,2670.665,SCTWRUN3,unknown,poca,1172.068465909091,1813.84375,74.96393939393937,1270.5,,
80000,0.0,0.226,,3332.317,SCTWRUN3,unknown,poca,1202.1996147260274,1813.84375,72.8553424657534,1270.5,,
90000,0.0,-0.2,,4312.443,SCTWRUN3,unknown,poca,1193.8815259546539,1813.84375,70.0601431980907,1270.5,,
100000,0.0,-0.051,,5312.891,SCTWRUN3,unknown,poca,1227.3131338742394,1813.84375,75.79695740365108,1270.5,,
110000,0.0,-0.055,,7227.921,SCTWRUN3,unknown,poca,1240.4891267889088,1813.84375,72.904114490161,1270.5,,
120000,0.0,0.103,,7268.171,SCTWRUN3,unknown,poca,1235.5776554674458,1813.84375,71.44724540901503,1270.5,,
130000,0.0,-0.333,,8374.263,SCTWRUN3,unknown,poca,1256.7418021300448,1922.078125,75.7916292974589,1270.5,,
140000,0.0,0.112,,9352.939,SCTWRUN3,unknown,poca,1281.1313496879334,1922.078125,74.1242718446602,1270.5,,
150000,0.0,-0.308,,10328.908,SCTWRUN3,unknown,poca,1273.5453550583657,1922.078125,72.63411154345009,1270.5,,
160000,0.0,0.0,,12312.058,SCTWRUN3,unknown,poca,1292.3723442956928,1922.078125,74.67287543655416,1270.5,,
