step,mean_reward,mean_group_reward,std_reward,time_elapsed,memory_usage_avg_mb,memory_usage_peak_mb,cpu_usage_avg_mb,cpu_usage_peak_mb,gpu_usage_avg_mb,gpu_usage_peak_mb,trainer_type,batch_size,buffer_size,learning_rate,beta,epsilon,lambd,num_epoch,learning_rate_schedule
10000,-1.0,,0.0,13.281,632.0708333333333,748.453125,101.73333333333332,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
20000,-1.003,,0.011,22.813,669.8606770833334,748.453125,85.3625,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
30000,-0.857,,0.377,32.462,687.9388786764706,748.453125,77.11176470588235,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
40000,-1.0,,0.001,42.509,697.8813920454545,748.453125,72.74999999999999,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
50000,-0.973,,0.09,52.888,704.1469907407408,748.453125,69.85925925925925,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
60000,-0.921,,0.313,62.125,705.8209325396825,748.453125,68.0253968253968,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
70000,-0.873,,0.381,71.48,706.9674657534247,748.453125,66.61369863013695,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
80000,-0.893,,0.377,81.222,707.7936356707318,748.453125,65.45365853658532,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
90000,-0.912,,0.338,90.423,708.4881524725274,748.453125,64.71098901098898,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
100000,-0.805,,0.486,99.907,709.1115408415842,748.453125,64.00891089108909,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
110000,-0.889,,0.313,110.675,709.7013113839286,748.453125,63.252678571428554,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
120000,-1.003,,0.02,120.422,710.4094783057851,748.453125,62.84132231404956,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
130000,-0.666,,0.562,130.309,711.113072519084,748.453125,62.43664122137403,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
140000,-0.762,,0.473,140.127,711.7245124113475,748.453125,62.082269503546065,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
150000,-0.848,,0.417,149.666,712.2554842715232,748.453125,61.76158940397346,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
160000,-0.974,,0.086,159.384,712.67734375,748.453125,61.54124999999997,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
170000,-0.839,,0.458,169.376,713.144393382353,748.453125,61.27941176470585,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
180000,-0.698,,0.599,179.796,713.6508114640884,748.453125,61.00552486187842,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
190000,-0.828,,0.428,189.201,714.0317434210526,748.453125,60.833684210526286,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
200000,-0.788,,0.478,198.426,714.389290201005,748.453125,60.68492462311555,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
210000,-0.698,,0.569,207.812,714.7541866028708,748.453125,60.54401913875596,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
220000,-0.891,,0.348,217.377,715.0017918577981,748.453125,60.40045871559631,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
230000,-0.721,,0.602,227.059,714.8029057017544,748.453125,60.267543859649116,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
240000,-0.62,,0.593,237.123,714.5735294117648,748.453125,60.13319327731092,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
250000,-0.819,,0.4,247.859,714.343498995984,748.453125,59.99196787148595,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
260000,-0.915,,0.265,258.31,714.1522683397683,748.453125,59.86061776061775,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
270000,-0.666,,0.521,268.398,713.9319818773234,748.453125,59.75836431226764,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
280000,-0.485,,0.597,278.161,713.7039650537635,748.453125,59.67132616487452,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
290000,-0.496,,0.578,288.389,713.489294982699,748.453125,59.58304498269894,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
300000,-0.332,,0.73,298.854,713.2849080267558,748.453125,59.48461538461534,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
310000,-0.515,,0.616,310.014,713.0659163987139,748.453125,59.3691318327974,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
320000,-0.495,,0.666,321.64,712.8563179347826,748.453125,59.255279503105555,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
330000,-0.403,,0.666,331.492,712.6543674698795,748.453125,59.19668674698791,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
340000,-0.766,,0.482,341.075,712.4670595760234,748.453125,59.13333333333328,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
350000,-0.637,,0.615,351.629,712.2911044034091,748.453125,59.06136363636361,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
360000,-0.641,,0.641,364.491,712.0708476027397,748.453125,58.912054794520515,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
370000,-0.76,,0.551,375.629,711.8960272606383,748.453125,58.839893617021225,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
380000,-0.763,,0.545,385.765,711.7482998704663,748.453125,58.80492227979269,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
390000,-0.697,,0.551,398.423,711.5657111528822,748.453125,58.68370927318289,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
400000,-0.834,,0.486,408.287,711.4344437652812,748.453125,58.648899755501155,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
410000,-0.916,,0.307,418.355,711.3177580548926,748.453125,58.61766109785197,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
420000,-0.851,,0.363,429.172,711.2112835081585,748.453125,58.563636363636306,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
430000,-0.894,,0.281,438.698,711.1098732915717,748.453125,58.54305239179949,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
440000,-0.953,,0.213,450.275,710.9987181263858,748.453125,58.46873614190681,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
450000,-0.828,,0.429,460.394,710.9123169739696,748.453125,58.44403470715828,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
460000,-0.492,,0.615,470.865,710.8294851380042,748.453125,58.41783439490439,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
470000,-0.41,,0.647,480.654,710.75,748.453125,58.39480249480242,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
480000,-0.373,,0.606,493.441,710.6516004554655,748.453125,58.31700404858292,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
490000,-0.044,,0.591,505.015,710.5725556930693,748.453125,58.26356435643558,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
500000,0.271,,0.596,515.563,710.4984859496124,748.453125,58.23178294573637,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
510000,0.254,,0.57,528.043,710.6537050189394,748.453125,58.1537878787878,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
520000,0.253,,0.55,537.889,710.78125,748.453125,58.133828996282446,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
530000,0.368,,0.553,547.817,710.9034272354014,748.453125,58.12062043795612,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
540000,0.32,,0.558,559.614,711.0480747767857,748.453125,58.06821428571421,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
550000,0.321,,0.558,572.029,711.1875273164336,748.453125,58.01695804195795,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
560000,0.339,,0.55,583.046,711.3107579331046,748.453125,57.98987993138926,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
570000,0.301,,0.557,593.514,711.4183705733558,748.453125,57.97335581787511,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
580000,0.342,,0.55,605.167,711.5433626033058,748.453125,57.93471074380157,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
590000,0.346,,0.55,616.893,711.6652400729336,748.453125,57.903079416531554,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
600000,0.416,,0.545,627.021,711.7652511961722,748.453125,57.90446570972882,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
610000,0.455,,0.546,639.421,711.8863947574334,748.453125,57.86572769953045,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
620000,0.41,,0.549,651.778,712.0157927530674,748.453125,57.81809815950915,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
630000,0.409,,0.555,665.683,712.1382048872181,748.453125,57.76706766917289,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
640000,0.304,,0.548,677.097,712.1307237813885,748.453125,57.713146233382524,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
650000,0.399,,0.546,687.577,712.0932723799127,748.453125,57.70320232896649,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
660000,0.373,,0.555,697.95,712.0544188753581,748.453125,57.6921203438395,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
670000,0.434,,0.547,708.473,712.0202374646892,748.453125,57.68305084745759,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
680000,0.409,,0.545,718.797,711.9907076949861,748.453125,57.656685236768745,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
690000,0.316,,0.553,729.57,711.9636059670781,748.453125,57.64951989026057,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
700000,0.407,,0.55,740.16,711.9390836148649,748.453125,57.63675675675671,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
710000,0.327,,0.547,751.443,711.9152796271637,748.453125,57.613981358189044,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
720000,0.363,,0.557,762.237,711.8916092519685,748.453125,57.602362204724365,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
730000,0.391,,0.549,773.057,711.8691380983182,748.453125,57.59068564036217,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
740000,0.352,,0.551,785.437,711.8462579617834,748.453125,57.555668789808855,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
750000,0.387,,0.551,797.785,711.8243608845671,748.453125,57.52747804265992,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
760000,0.286,,0.545,809.32,711.8035962608158,748.453125,57.51495673671194,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
770000,0.329,,0.551,819.884,711.7875076312577,748.453125,57.50586080586075,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
780000,0.414,,0.553,831.037,711.7701430722891,748.453125,57.49337349397583,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
790000,0.324,,0.561,842.34,711.7540083135392,748.453125,57.478266033254094,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
800000,0.385,,0.553,856.868,711.7349591121496,748.453125,57.429672897196205,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
810000,0.392,,0.551,867.667,711.7214172433679,748.453125,57.42179930795842,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
820000,0.35,,0.549,879.226,711.7084638382688,748.453125,57.40478359908878,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
830000,0.411,,0.543,894.377,710.9789683650616,748.453125,57.35106382978719,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
840000,0.411,,0.546,905.693,710.3223756906077,748.453125,57.33237569060769,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
850000,0.438,,0.543,916.444,709.7879610655738,748.453125,57.32928961748629,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
860000,0.5,,0.529,928.363,709.1124258360302,748.453125,57.31121898597622,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
870000,0.469,,0.541,939.961,708.1996638711395,748.453125,57.29691160809366,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
880000,0.482,,0.539,950.863,706.7306743421053,748.453125,57.29021052631573,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
890000,0.466,,0.538,962.613,705.1663364085239,748.453125,57.27349272349266,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
900000,0.5,,0.53,973.866,703.7669418036999,748.453125,57.26279547790333,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
910000,0.551,,0.514,985.596,702.3981040396342,748.453125,57.250304878048716,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
920000,0.471,,0.533,997.554,700.9294678714859,748.453125,57.23443775100396,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
930000,0.497,,0.533,1008.699,699.4874441964286,748.453125,57.22519841269835,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
940000,0.531,,0.523,1019.572,698.3123925589391,748.453125,57.20893909626713,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
950000,0.52,,0.521,1030.238,697.0466472303207,748.453125,57.2060252672497,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
960000,0.445,,0.536,1040.958,695.808173076923,748.453125,57.2002884615384,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
970000,0.413,,0.544,1053.283,694.4870781844106,748.453125,57.184695817490436,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
980000,0.498,,0.527,1064.103,693.3018726481656,748.453125,57.180526810912454,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
990000,0.48,,0.529,1075.541,692.1412214851024,748.453125,57.171508379888216,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
1000000,0.454,,0.537,1087.248,690.9018761510129,748.453125,57.16095764272555,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
1010000,0.415,,0.546,1098.433,689.7918185961714,748.453125,57.15223336371918,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
1020000,0.486,,0.533,1110.284,688.6056836113615,748.453125,57.1388638412984,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
1030000,0.512,,0.523,1122.808,687.4431590098127,748.453125,57.12176628010699,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
1040000,0.356,,0.545,1134.299,686.3044737422772,748.453125,57.109708737864025,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
1050000,0.483,,0.533,1144.918,685.3745625546807,748.453125,57.10533683289582,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
1060000,0.315,,0.546,1157.217,684.1898113105536,748.453125,57.090916955017256,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
1070000,0.41,,0.549,1169.761,683.1204650042808,748.453125,57.073886986301346,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
1080000,0.365,,0.562,1181.36,682.0726297669491,748.453125,57.067372881355894,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
1090000,0.469,,0.543,1192.655,681.1309430100756,748.453125,57.057514693534806,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
1100000,0.523,,0.522,1203.475,680.2063227953411,748.453125,57.05357737104822,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
1110000,0.508,,0.527,1215.951,679.2165233731466,748.453125,57.04126853377262,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
1120000,0.545,,0.511,1227.041,678.3266071428571,748.453125,57.036163265306065,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
1130000,0.456,,0.538,1239.319,677.2969633481422,748.453125,57.02633279483032,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
1140000,0.458,,0.54,1251.543,676.3661125,748.453125,57.015199999999965,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
1150000,0.5,,0.531,1263.26,675.4530011885895,748.453125,57.00633914421549,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
1160000,0.577,,0.498,1274.135,674.7051272602201,748.453125,57.00432389937102,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
1170000,0.479,,0.534,1285.029,673.8960078916601,748.453125,57.00459859703813,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
1180000,0.525,,0.523,1296.058,673.1001618044822,748.453125,57.000154559505354,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
1190000,0.532,,0.52,1307.611,672.2480259379786,748.453125,56.996018376722766,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
1200000,0.543,,0.512,1318.476,671.4802581624905,748.453125,56.99544419134393,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
1210000,0.577,,0.501,1329.546,670.725538874247,748.453125,56.99299698795177,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
1220000,0.546,,0.513,1340.336,670.0503082959641,748.453125,56.990582959641216,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
1230000,0.604,,0.489,1350.994,669.318847294292,748.453125,56.98739807264637,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
1240000,0.519,,0.525,1361.864,668.5997357536764,748.453125,56.98522058823526,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
1250000,0.596,,0.488,1372.571,667.8930981035741,748.453125,56.98293216630194,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
1260000,0.549,,0.508,1383.413,667.2606127805938,748.453125,56.97892831281678,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
1270000,0.442,,0.543,1395.044,666.5136171931084,748.453125,56.96984924623113,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
1280000,0.529,,0.52,1405.844,665.8400885861823,748.453125,56.968019943019925,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
1290000,0.531,,0.519,1416.76,665.1767005300353,748.453125,56.966996466431084,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
1300000,0.555,,0.509,1427.772,664.523295056101,748.453125,56.96353436185132,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
1310000,0.562,,0.509,1438.917,663.8805127870563,748.453125,56.959011830201796,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
1320000,0.489,,0.539,1450.358,663.247593663674,748.453125,56.94930939226518,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
1330000,0.483,,0.534,1461.021,662.6244324023304,748.453125,56.94763536668952,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
1340000,0.427,,0.545,1471.646,662.0654569434989,748.453125,56.94526889040166,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
1350000,0.461,,0.54,1483.589,661.4053004726536,748.453125,56.93349088453751,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
1360000,0.421,,0.551,1494.704,660.8093372989276,748.453125,56.931501340482605,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
1370000,0.506,,0.533,1506.245,660.1689660904256,748.453125,56.91635638297875,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
1380000,0.509,,0.525,1519.146,659.4870426829268,748.453125,56.90079103493743,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
1390000,0.491,,0.532,1531.321,658.867519620667,748.453125,56.89378678875088,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
1400000,0.539,,0.521,1542.214,658.3082893668832,748.453125,56.89032467532473,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
1410000,0.455,,0.543,1553.936,657.707393685567,748.453125,56.88228092783509,794.5999999999999,,,ppo,64,512,0.0005,0.01,0.1,0.99,5,constant
