step,mean_reward,mean_group_reward,std_reward,time_elapsed,memory_usage_avg_mb,memory_usage_peak_mb,cpu_usage_avg_percent,cpu_usage_peak_percent,gpu_usage_avg_mb,gpu_usage_peak_mb,trainer_type,batch_size,buffer_size,learning_rate,beta,epsilon,lambd,num_epoch,learning_rate_schedule,policy_entropy,losses_policy_loss,losses_value_loss
10000,-1.0,,0.0,12.288,607.5133928571429,733.953125,,,,,ppo,256,2048,0.0001,0.005,0.3,0.9,2,linear,1.6091392040252686,0.04597868397831917,0.0012338540982455015
20000,-0.973,,0.109,20.721,653.4609375,733.953125,,,,,ppo,256,2048,0.0001,0.005,0.3,0.9,2,linear,1.6057342290878296,0.048355065286159515,0.0003089815436396748
30000,-1.0,,0.0,29.768,677.4173387096774,737.546875,,,,,ppo,256,2048,0.0001,0.005,0.3,0.9,2,linear,1.5942001342773438,0.04973648115992546,0.0001706831098999828
40000,-0.877,,0.38,38.538,691.00703125,738.0,,,,,ppo,256,2048,0.0001,0.005,0.3,0.9,2,linear,1.569019079208374,0.05096383020281792,0.0015077533898875117
50000,-0.88,,0.314,46.697,698.8610026041666,738.15625,,,,,ppo,256,2048,0.0001,0.005,0.3,0.9,2,linear,1.5584770441055298,0.05015116557478905,0.000767479941714555
60000,-0.941,,0.123,55.12,704.4835379464286,738.265625,,,,,ppo,256,2048,0.0001,0.005,0.3,0.9,2,linear,1.5731488466262817,0.04961172118782997,0.0002650359820108861
70000,-1.002,,0.011,63.887,709.1822115384615,738.59375,,,,,ppo,256,2048,0.0001,0.005,0.3,0.9,2,linear,1.5766395330429077,0.04577907547354698,0.0001623838470550254
80000,-0.785,,0.484,72.496,712.7635135135135,738.6875,,,,,ppo,256,2048,0.0001,0.005,0.3,0.9,2,linear,1.5344902276992798,0.04747917130589485,0.0018042840529233217
90000,-0.363,,0.598,80.689,715.2978277439024,738.8125,,,,,ppo,256,2048,0.0001,0.005,0.3,0.9,2,linear,1.4552741050720215,0.04448210075497627,0.004979751072824001
100000,0.052,,0.673,89.007,717.3904513888889,738.875,,,,,ppo,256,2048,0.0001,0.005,0.3,0.9,2,linear,1.3128587007522583,0.054063815623521805,0.008244161494076252
110000,0.156,,0.651,97.332,719.3450126262626,738.90625,,,,,ppo,256,2048,0.0001,0.005,0.3,0.9,2,linear,0.9254162311553955,0.045102670788764954,0.014385934919118881
120000,0.108,,0.64,105.59,720.8078271028037,738.921875,,,,,ppo,256,2048,0.0001,0.005,0.3,0.9,2,linear,0.5962238907814026,0.053437359631061554,0.012481802143156528
130000,0.104,,0.648,113.851,722.0788043478261,739.21875,,,,,ppo,256,2048,0.0001,0.005,0.3,0.9,2,linear,0.49165868759155273,0.04697328433394432,0.012747816741466522
140000,0.216,,0.663,122.14,723.1947408536586,739.25,,,,,ppo,256,2048,0.0001,0.005,0.3,0.9,2,linear,0.5114595890045166,0.04030387103557587,0.017714086920022964
150000,0.418,,0.593,130.35,724.1761688931298,739.265625,,,,,ppo,256,2048,0.0001,0.005,0.3,0.9,2,linear,0.5563672780990601,0.054165761917829514,0.01812170259654522
160000,0.272,,0.608,138.786,725.146875,739.296875,,,,,ppo,256,2048,0.0001,0.005,0.3,0.9,2,linear,0.4551445245742798,0.04651300981640816,0.02246479131281376
170000,0.337,,0.613,147.039,725.9126900337837,739.328125,,,,,ppo,256,2048,0.0001,0.005,0.3,0.9,2,linear,0.49389588832855225,0.04589829593896866,0.023368654772639275
180000,0.284,,0.589,155.458,726.6824243630573,739.359375,,,,,ppo,256,2048,0.0001,0.005,0.3,0.9,2,linear,0.4582764506340027,0.045052770525217056,0.023088103160262108
190000,0.39,,0.574,163.78,727.297821969697,739.390625,,,,,ppo,256,2048,0.0001,0.005,0.3,0.9,2,linear,0.4369634985923767,0.042726289480924606,0.027397656813263893
200000,0.35,,0.56,172.155,727.858200867052,739.453125,,,,,ppo,256,2048,0.0001,0.005,0.3,0.9,2,linear,0.39071932435035706,0.05153125897049904,0.029668791219592094
210000,0.397,,0.552,180.529,728.4318337912088,739.484375,,,,,ppo,256,2048,0.0001,0.005,0.3,0.9,2,linear,0.39132848381996155,0.048832327127456665,0.0358663946390152
