step,mean_reward,mean_group_reward,std_reward,time_elapsed,memory_usage_avg_mb,memory_usage_peak_mb,cpu_usage_avg_percent,cpu_usage_peak_percent,gpu_usage_avg_mb,gpu_usage_peak_mb,trainer_type,batch_size,buffer_size,learning_rate,beta,epsilon,lambd,num_epoch,learning_rate_schedule,buffer_init_steps,tau,steps_per_update,steps_per_update.1,init_entcoef,reward_signal_steps_per_update,policy_entropy,losses_policy_loss,losses_value_loss
10000,-1.0,,0.0,26.178,823.2991898148148,910.515625,123.94814814814816,1298.9,,,sac,512,200000,0.0003,,,,,constant,0,0.005,10.0,10.0,0.1,10.0,1.6004739999771118,-0.38932785391807556,0.0003975446743424982
20000,-1.0,,0.0,51.312,873.7078419811321,940.484375,105.5867924528302,1298.9,,,sac,512,200000,0.0003,,,,,constant,0,0.005,10.0,10.0,0.1,10.0,1.5984046459197998,-0.8954252600669861,4.721188452094793e-05
30000,-0.925,,0.29,77.146,900.4000400641025,969.09375,100.34615384615384,1298.9,,,sac,512,200000,0.0003,,,,,constant,0,0.005,10.0,10.0,0.1,10.0,1.5984151363372803,-1.2604790925979614,3.697214924613945e-05
40000,-1.0,,0.0,104.655,922.7178655660376,998.734375,97.0877358490566,1298.9,,,sac,512,200000,0.0003,,,,,constant,0,0.005,10.0,10.0,0.1,10.0,1.5997813940048218,-1.5004152059555054,2.5841132810455747e-05
50000,-1.0,,0.0,128.735,939.3725961538462,1026.296875,95.26384615384616,1298.9,,,sac,512,200000,0.0003,,,,,constant,0,0.005,10.0,10.0,0.1,10.0,1.5981842279434204,-1.6391342878341675,2.089000008709263e-05
60000,-1.0,,0.0,154.861,955.9368990384615,1052.78125,94.12628205128206,1298.9,,,sac,512,200000,0.0003,,,,,constant,0,0.005,10.0,10.0,0.1,10.0,1.5971689224243164,-1.710107445716858,1.5697125490987673e-05
70000,-0.92,,0.32,181.311,971.5020604395604,1076.828125,93.3373626373626,1298.9,,,sac,512,200000,0.0003,,,,,constant,0,0.005,10.0,10.0,0.1,10.0,1.591481328010559,-1.7384471893310547,1.4855013432679698e-05
80000,-0.999,,0.006,209.555,987.6178571428572,1106.015625,92.74285714285708,1298.9,,,sac,512,200000,0.0003,,,,,constant,0,0.005,10.0,10.0,0.1,10.0,1.5865347385406494,-1.7318966388702393,1.4464156265603378e-05
90000,-1.0,,0.0,234.176,1001.5721409574468,1130.671875,92.17276595744674,1298.9,,,sac,512,200000,0.0003,,,,,constant,0,0.005,10.0,10.0,0.1,10.0,1.5730451345443726,-1.7015353441238403,1.3903716535423882e-05
100000,-1.0,,0.0,260.875,1015.5872246168584,1153.40625,91.87854406130263,1298.9,,,sac,512,200000,0.0003,,,,,constant,0,0.005,10.0,10.0,0.1,10.0,1.576827049255371,-1.6567515134811401,1.5721396266599186e-05
110000,-1.0,,0.0,287.824,1029.7739800347222,1179.328125,91.55520833333328,1298.9,,,sac,512,200000,0.0003,,,,,constant,0,0.005,10.0,10.0,0.1,10.0,1.578734278678894,-1.6000020503997803,4.840464043809334e-06
120000,-1.0,,0.0,316.322,1044.6894716088327,1205.484375,91.28422712933748,1298.9,,,sac,512,200000,0.0003,,,,,constant,0,0.005,10.0,10.0,0.1,10.0,1.5663962364196777,-1.5337660312652588,1.1361573342583142e-05
130000,-1.0,,0.0,341.025,1056.772956378299,1226.171875,91.1134897360703,1298.9,,,sac,512,200000,0.0003,,,,,constant,0,0.005,10.0,10.0,0.1,10.0,1.561903953552246,-1.4662020206451416,8.872557373251766e-06
140000,-1.0,,0.0,367.892,1070.343113111413,1254.609375,90.92364130434773,1298.9,,,sac,512,200000,0.0003,,,,,constant,0,0.005,10.0,10.0,0.1,10.0,1.5604281425476074,-1.3994367122650146,5.979277830192586e-06
150000,-1.0,,0.0,394.94,1083.754588607595,1277.34375,90.76126582278472,1298.9,,,sac,512,200000,0.0003,,,,,constant,0,0.005,10.0,10.0,0.1,10.0,1.5368587970733643,-1.329508662223816,5.758356564911082e-06
160000,-1.0,,0.0,423.603,1097.514036643026,1303.359375,90.66217494089828,1298.9,,,sac,512,200000,0.0003,,,,,constant,0,0.005,10.0,10.0,0.1,10.0,1.5404341220855713,-1.2573777437210083,3.826256033789832e-06
170000,-1.0,,0.0,448.407,1109.624755859375,1324.546875,90.51093749999998,1298.9,,,sac,512,200000,0.0003,,,,,constant,0,0.005,10.0,10.0,0.1,10.0,1.5377594232559204,-1.1898648738861084,4.509608061198378e-06
180000,-1.0,,0.0,475.49,1123.107269736842,1359.203125,90.41663157894736,1298.9,,,sac,512,200000,0.0003,,,,,constant,0,0.005,10.0,10.0,0.1,10.0,1.5070288181304932,-1.1269021034240723,3.416560957703041e-06
