step,mean_reward,mean_group_reward,std_reward,time_elapsed,memory_usage_avg_mb,memory_usage_peak_mb,cpu_usage_avg_percent,cpu_usage_peak_percent,gpu_usage_avg_mb,gpu_usage_peak_mb,trainer_type,batch_size,buffer_size,learning_rate,beta,epsilon,lambd,num_epoch,learning_rate_schedule,buffer_init_steps,tau,steps_per_update,steps_per_update.1,init_entcoef,reward_signal_steps_per_update,policy_entropy,losses_policy_loss,losses_value_loss
10000,0.0,-0.26,,24.263,703.8614004629629,954.671875,10.58148148148148,100.3,167.8213252314815,173.83984375,poca,2048,20480,0.0003,0.005,0.2,0.95,3,constant,,,,,,,3.2957303524017334,,
20000,0.0,0.106,,39.457,797.9464285714286,998.69921875,6.802380952380952,100.3,169.34579613095238,173.83984375,poca,2048,20480,0.0003,0.005,0.2,0.95,3,constant,,,,,,,3.2957308292388916,,
30000,0.0,0.115,,63.223,987.8780048076924,1464.54296875,4.395384615384615,100.3,170.31676682692307,173.83984375,poca,2048,20480,0.0003,0.005,0.2,0.95,3,constant,,,,,,,3.2858500480651855,0.018256695941090584,0.002762366086244583
40000,0.0,0.087,,79.249,1081.8790991512346,1480.52734375,3.5271604938271603,100.3,170.66700424382717,173.83984375,poca,2048,20480,0.0003,0.005,0.2,0.95,3,constant,,,,,,,3.284168243408203,,
50000,0.0,-0.037,,111.167,1199.8448561946902,1601.9140625,2.528318584070796,100.3,171.06993224557522,173.83984375,poca,2048,20480,0.0003,0.005,0.2,0.95,3,constant,,,,,,,3.272064208984375,0.01909659616649151,0.002069719834253192
60000,0.0,-0.182,,121.21,1220.8908473069105,1601.9140625,2.3227642276422764,100.3,171.1528518800813,173.83984375,poca,2048,20480,0.0003,0.005,0.2,0.95,3,constant,,,,,,,3.271850824356079,,
70000,0.0,0.059,,148.704,1270.194140625,1601.9140625,1.9046666666666665,100.3,171.32151041666663,173.83984375,poca,2048,20480,0.0003,0.005,0.2,0.95,3,constant,,,,,,,3.260793447494507,0.013502903282642365,0.0019368361681699753
80000,0.0,0.0,,162.271,1288.7005764100609,1601.9140625,1.7420731707317072,100.3,171.387099847561,173.83984375,poca,2048,20480,0.0003,0.005,0.2,0.95,3,constant,,,,,,,3.25734543800354,,
90000,0.0,-0.146,,191.608,1319.002954987047,1601.9140625,1.4803108808290155,100.3,171.49269349093265,173.83984375,poca,2048,20480,0.0003,0.005,0.2,0.95,3,constant,,,,,,,3.2676150798797607,0.014181741513311863,0.0022244395222514868
100000,0.0,-0.333,,203.341,1324.3204656862745,1601.9140625,1.4004901960784313,100.3,171.52489276960785,173.83984375,poca,2048,20480,0.0003,0.005,0.2,0.95,3,constant,,,,,,,3.278904438018799,,
110000,0.0,-0.026,,235.716,1346.4796908103813,1601.9140625,1.210593220338983,100.3,171.60149629237287,173.83984375,poca,2048,20480,0.0003,0.005,0.2,0.95,3,constant,,,,,,,3.267205238342285,0.018789928406476974,0.004106673877686262
120000,0.0,-0.309,,244.202,1350.887260841837,1601.9140625,1.1661224489795918,100.3,171.61943558673468,173.83984375,poca,2048,20480,0.0003,0.005,0.2,0.95,3,constant,,,,,,,3.2651331424713135,,
130000,0.0,0.065,,277.216,1368.6350747526978,1618.84765625,1.0276978417266187,100.3,171.67527540467626,173.83984375,poca,2048,20480,0.0003,0.005,0.2,0.95,3,constant,,,,,,,3.2619361877441406,0.017219049856066704,0.004109875299036503
140000,0.0,0.124,,287.909,1370.3302680121528,1618.84765625,0.9920138888888888,100.3,171.68967013888889,173.83984375,poca,2048,20480,0.0003,0.005,0.2,0.95,3,constant,,,,,,,3.2564547061920166,,
150000,0.0,-0.177,,319.934,1383.4337524414063,1631.3046875,0.8928125,100.3,171.7296875,173.83984375,poca,2048,20480,0.0003,0.005,0.2,0.95,3,constant,,,,,,,3.255913257598877,0.018740033730864525,0.002444781130179763
160000,0.0,0.063,,326.991,1385.7276256689602,1631.3046875,0.8737003058103975,100.3,171.73739726681958,173.83984375,poca,2048,20480,0.0003,0.005,0.2,0.95,3,constant,,,,,,,3.241345167160034,,
170000,0.0,0.203,,341.585,1390.6063393511731,1631.3046875,0.8378299120234604,100.3,171.75186721041055,173.83984375,poca,2048,20480,0.0003,0.005,0.2,0.95,3,constant,,,,,,,3.233182430267334,,
180000,0.0,0.0,,369.398,1401.7606072154472,1631.3046875,0.7742547425474254,100.3,171.77751312669378,173.83984375,poca,2048,20480,0.0003,0.005,0.2,0.95,3,constant,,,,,,,3.2522270679473877,0.014399596489965916,0.0009454850805923343
190000,0.0,-0.352,,381.578,1405.2412750164042,1631.3046875,0.7498687664041994,100.3,171.7873503116798,173.83984375,poca,2048,20480,0.0003,0.005,0.2,0.95,3,constant,,,,,,,3.240739107131958,,
200000,0.0,0.0,,410.457,1403.700428734756,1631.3046875,0.6968292682926829,100.3,171.8087461890244,173.83984375,poca,2048,20480,0.0003,0.005,0.2,0.95,3,constant,,,,,,,3.2443912029266357,0.017053047195076942,0.0016154448967427015
210000,0.0,-0.231,,426.614,1401.3842796361505,1631.3046875,0.6706572769953051,100.3,171.8193038438967,173.83984375,poca,2048,20480,0.0003,0.005,0.2,0.95,3,constant,,,,,,,3.2386066913604736,,
220000,0.0,-0.032,,456.087,1396.309478021978,1631.3046875,0.6279120879120879,100.3,171.8365470467033,173.83984375,poca,2048,20480,0.0003,0.005,0.2,0.95,3,constant,,,,,,,3.231847047805786,0.016950177028775215,0.0034335998352617025
230000,0.0,0.093,,465.99,1394.06079469086,1631.3046875,0.6144086021505376,100.3,171.8419942876344,173.83984375,poca,2048,20480,0.0003,0.005,0.2,0.95,3,constant,,,,,,,3.2228455543518066,,
240000,0.0,0.013,,497.696,1389.0679419732862,1631.3046875,0.576008064516129,100.3,171.85748487903226,173.83984375,poca,2048,20480,0.0003,0.005,0.2,0.95,3,constant,,,,,,,3.228870391845703,0.016033705323934555,0.001771624549292028
250000,0.0,-0.643,,506.222,1387.0617419554455,1631.3046875,0.5657425742574257,100.3,171.86162592821782,173.83984375,poca,2048,20480,0.0003,0.005,0.2,0.95,3,constant,,,,,,,3.23805570602417,,
260000,0.0,0.147,,535.705,1383.6753716058051,1631.3046875,0.5350187265917603,100.3,171.87401977996254,173.83984375,poca,2048,20480,0.0003,0.005,0.2,0.95,3,constant,,,,,,,3.2349636554718018,0.017214570194482803,0.004283001180738211
270000,0.0,-0.104,,547.631,1381.3045301053114,1631.3046875,0.5232600732600733,100.3,171.87876316391942,173.83984375,poca,2048,20480,0.0003,0.005,0.2,0.95,3,constant,,,,,,,3.2382850646972656,,
280000,0.0,-0.004,,576.126,1379.1304578614984,1631.3046875,0.4977351916376306,100.3,171.88905977787456,173.83984375,poca,2048,20480,0.0003,0.005,0.2,0.95,3,constant,,,,,,,3.2481746673583984,0.017635075375437737,0.0035799965262413025
290000,0.0,0.0,,588.156,1377.7192099509386,1631.3046875,0.4875426621160409,100.3,171.89317139505118,173.83984375,poca,2048,20480,0.0003,0.005,0.2,0.95,3,constant,,,,,,,3.2430880069732666,,
300000,0.0,-0.192,,619.171,1375.7428206037278,1631.3046875,0.4630470016207455,100.3,171.90305282617504,173.83984375,poca,2048,20480,0.0003,0.005,0.2,0.95,3,constant,,,,,,,3.2418224811553955,0.01675284653902054,0.000807764008641243
310000,0.0,0.13,,629.598,1375.3717790570176,1631.3046875,0.4556618819776714,100.3,171.90603194776713,173.83984375,poca,2048,20480,0.0003,0.005,0.2,0.95,3,constant,,,,,,,3.238983631134033,,
320000,0.0,0.162,,658.962,1374.790616663491,1631.3046875,0.4355182926829268,100.3,171.91415777439025,173.83984375,poca,2048,20480,0.0003,0.005,0.2,0.95,3,constant,,,,,,,3.241820812225342,0.0182025283575058,0.0010676606325432658
330000,0.0,0.0,,666.08,1374.619838800905,1631.3046875,0.430920060331825,100.3,171.9160126791101,173.83984375,poca,2048,20480,0.0003,0.005,0.2,0.95,3,constant,,,,,,,3.2381176948547363,,
340000,0.0,-0.097,,676.572,1374.3795727466618,1631.3046875,0.423887240356083,100.3,171.9188496847181,173.83984375,poca,2048,20480,0.0003,0.005,0.2,0.95,3,constant,,,,,,,3.2423737049102783,,
350000,0.0,-0.176,,711.072,1371.3374382062148,1631.3046875,0.4035310734463276,100.3,171.9270612641243,173.83984375,poca,2048,20480,0.0003,0.005,0.2,0.95,3,constant,,,,,,,3.227072238922119,0.01433640904724598,0.002964905695989728
360000,0.0,-0.364,,722.993,1369.5836371527778,1631.3046875,0.3968055555555555,100.3,171.92977430555555,173.83984375,poca,2048,20480,0.0003,0.005,0.2,0.95,3,constant,,,,,,,3.2267699241638184,,
370000,0.0,0.036,,749.185,1368.578125,1631.3046875,0.3829758713136729,100.3,171.93535313337802,173.83984375,poca,2048,20480,0.0003,0.005,0.2,0.95,3,constant,,,,,,,3.2270150184631348,0.016741877421736717,0.00248901080340147
