step,mean_reward,mean_group_reward,std_reward,time_elapsed,memory_usage_avg_mb,memory_usage_peak_mb,cpu_usage_avg_percent,cpu_usage_peak_percent,gpu_usage_avg_mb,gpu_usage_peak_mb,trainer_type,batch_size,buffer_size,learning_rate,beta,epsilon,lambd,num_epoch,learning_rate_schedule,buffer_init_steps,tau,steps_per_update,steps_per_update.1,init_entcoef,reward_signal_steps_per_update,policy_entropy,losses_policy_loss,losses_value_loss
20000,0.0,-0.261,,40.031,795.0748546511628,1014.51953125,6.0,100.3,1060.745367005814,1175.19140625,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,,,,,,,3.2957801818847656,,
40000,0.0,-0.039,,57.783,865.4152994791667,1082.56640625,4.3,100.3,1075.664453125,1175.19140625,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,,,,,,,3.295780658721924,,
60000,0.0,-0.152,,126.79,1121.5099018895348,1813.79296875,2.0,100.3,1055.8740915697674,1229.0859375,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,,,,,,,3.2933201789855957,0.016240179538726807,0.0032124596182256937
80000,0.0,-0.01,,146.071,1116.1671505489865,1813.79296875,1.7432432432432432,100.3,1061.3865076013512,1229.0859375,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,,,,,,,3.2914786338806152,,
100000,0.0,0.01,,215.379,1232.2227105034722,1954.78125,1.1944444444444444,100.3,1069.3326822916667,1229.0859375,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,,,,,,,3.2845282554626465,0.015016797930002213,0.002103356644511223
120000,0.0,-0.066,,242.269,1214.4348476080247,1954.78125,1.0617283950617284,100.3,1071.0192579732511,1229.0859375,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,,,,,,,3.2808151245117188,,
140000,0.0,-0.022,,307.259,1278.7225671824103,1980.10546875,0.8403908794788274,100.3,1077.920526262215,1229.0859375,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,,,,,,,3.2802140712738037,0.010297143831849098,0.002749527571722865
160000,0.0,-0.226,,330.65,1264.7130027379153,1980.10546875,0.7794561933534743,100.3,1075.5978332703928,1229.0859375,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,,,,,,,3.2697973251342773,,
180000,0.0,0.147,,395.913,1309.7591277689874,1980.10546875,0.6531645569620254,100.3,1069.267266613924,1229.0859375,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,,,,,,,3.2766833305358887,0.013133157044649124,0.001967750256881118
200000,0.0,-0.169,,417.199,1311.2124399038462,1980.10546875,0.6201923076923077,100.3,1070.0926983173076,1229.0859375,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,,,,,,,3.269563913345337,,
220000,0.0,-0.083,,478.916,1346.4494316692872,1980.10546875,0.5408805031446541,100.3,1075.7568216063942,1229.0859375,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,,,,,,,3.259279489517212,0.009510655887424946,0.002344032982364297
240000,0.0,-0.261,,500.254,1346.412856963928,1980.10546875,0.5170340681362725,100.3,1075.3177370365731,1229.0859375,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,,,,,,,3.257610559463501,,
260000,0.0,-0.204,,572.11,1371.488164747807,1994.953125,0.4526315789473684,100.3,1078.8492804276316,1229.0859375,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,,,,,,,3.2582154273986816,0.010864200070500374,0.0024542822502553463
280000,0.0,0.014,,592.46,1362.4639830508474,1994.953125,0.4372881355932203,100.3,1078.4218683792374,1229.0859375,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,,,,,,,3.2603042125701904,,
300000,0.0,0.0,,672.345,1380.1933856502242,2008.64453125,0.3856502242152466,100.3,1082.5896685818386,1260.07421875,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,,,,,,,3.2570669651031494,0.011592178605496883,0.0009192423895001411
320000,0.0,-0.301,,709.436,1362.958458746459,2008.64453125,0.3654390934844193,100.3,1075.7536019387394,1260.07421875,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,,,,,,,3.249286413192749,,
340000,0.0,0.0,,791.463,1387.9071583148032,2012.890625,0.3278271918678526,100.3,1067.6778857608006,1260.07421875,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,,,,,,,3.244750499725342,0.010577240958809853,0.002065003151074052
360000,0.0,-0.05,,821.027,1403.0117091758575,2012.890625,0.3161764705882353,100.3,1064.4324687882963,1260.07421875,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,,,,,,,3.2417871952056885,,
380000,0.0,0.028,,889.522,1442.9071514423076,2027.96484375,0.2918552036199095,100.3,1065.3484737344456,1260.07421875,poca,4096,40960,0.0002,0.01,0.2,0.95,3,linear,,,,,,,3.2555928230285645,0.012615599669516087,0.0007132207392714918
