step,mean_reward,mean_group_reward,std_reward,time_elapsed,memory_usage_avg_mb,memory_usage_peak_mb,cpu_usage_avg_percent,cpu_usage_peak_percent,gpu_usage_avg_mb,gpu_usage_peak_mb,trainer_type,batch_size,buffer_size,learning_rate,beta,epsilon,lambd,num_epoch,learning_rate_schedule,policy_entropy,losses_policy_loss,losses_value_loss
30000,0.429,,0.662,26.426,656.7772090517242,820.7109375,7.413793103448276,100.3,1059.7322198275865,1068.90625,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.418938398361206,,
60000,0.263,,0.427,51.489,766.3318142361111,935.578125,3.9814814814814814,100.3,1058.834201388889,1068.90625,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.4201018810272217,0.0147973308339715,0.008081313222646713
90000,0.325,,0.536,76.779,808.1533821202531,936.9609375,2.721518987341772,100.3,1058.2054984177216,1068.90625,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.4204577207565308,0.016869869083166122,0.001388451550155878
120000,0.532,,0.558,101.782,830.5308368389423,939.42578125,2.0673076923076925,100.3,1056.1645132211538,1068.90625,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.4225122928619385,0.014499679207801819,0.0011865695705637336
150000,0.55,,0.629,127.476,844.2507873062016,939.42578125,1.6666666666666667,100.3,1053.9335029069769,1068.90625,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.422736406326294,0.015679122880101204,0.0014171591028571129
180000,0.756,,0.848,152.682,853.1728388798701,939.57421875,1.396103896103896,100.3,1052.2937297077922,1068.90625,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.4225486516952515,0.01443570852279663,0.0014531994238495827
210000,1.14,,1.046,178.029,859.8997032122905,939.57421875,1.2011173184357542,100.3,1050.844535614525,1068.90625,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.4226806163787842,0.015352786518633366,0.0020129000768065453
240000,0.672,,1.216,203.033,866.423215379902,939.57421875,1.053921568627451,100.3,1049.439261642157,1068.90625,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.421118140220642,0.015440384857356548,0.0032605852466076612
270000,1.985,,1.694,228.725,870.6926970108696,940.22265625,0.9347826086956522,100.3,1048.280366847826,1068.90625,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.4206424951553345,0.019706737250089645,0.00229294179007411
300000,1.969,,1.675,254.479,873.9837162990196,940.22265625,0.8431372549019608,100.3,1047.3889093137254,1068.90625,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.4201010465621948,0.019017452374100685,0.006029109470546246
330000,2.915,,2.078,279.139,876.9658063616072,940.62890625,0.7678571428571429,100.3,1046.659765625,1068.90625,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.4174367189407349,0.01905227266252041,0.006124128121882677
360000,1.945,,1.676,304.852,879.322131147541,942.328125,0.7049180327868853,100.3,1046.0524077868852,1068.90625,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.4157845973968506,0.01734062470495701,0.008789900690317154
390000,4.524,,2.928,330.115,881.4385416666667,943.7734375,0.6515151515151515,100.3,1045.8241950757576,1068.90625,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.413861870765686,0.017386524006724358,0.006622623186558485
420000,6.222,,3.956,355.642,883.4366747359155,944.29296875,0.6056338028169014,100.3,1045.7228433098592,1068.90625,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.4118047952651978,0.016349896788597107,0.016591327264904976
450000,6.269,,3.957,381.221,885.2384657972441,944.56640625,0.5643044619422573,100.3,1045.6308645013123,1068.90625,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.4094940423965454,0.015289242379367352,0.024058638140559196
480000,9.654,,4.434,406.555,886.6313115763547,944.56640625,0.5295566502463054,100.3,1045.539370381773,1068.90625,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.4069583415985107,0.018260302022099495,0.02749510109424591
510000,11.214,,5.805,432.523,888.0691008391203,944.56640625,0.4976851851851852,100.3,1045.221462673611,1068.90625,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.404486060142517,0.01530040055513382,0.04323643445968628
540000,13.73,,6.04,457.948,889.969014975383,954.07421875,0.4704595185995623,100.3,1044.9358246717725,1068.90625,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.4014781713485718,0.018008243292570114,0.05498525872826576
570000,19.906,,7.434,483.671,891.8298476319876,955.35546875,0.4451345755693582,100.3,1044.67012810559,1068.90625,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.3988834619522095,0.018200216814875603,0.06980720162391663
600000,24.283,,7.854,509.247,893.3137610728346,955.4765625,0.4232283464566929,100.3,1044.4402989665357,1068.90625,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.3956890106201172,0.017533093690872192,0.10199195891618729
630000,29.461,,10.38,534.913,894.8703402972847,956.1015625,0.4026217228464419,100.3,1044.2241046348315,1068.90625,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.391875982284546,0.018399890512228012,0.12375781685113907
660000,35.331,,8.335,561.013,896.1238260286225,957.1171875,0.3846153846153846,100.3,1044.0351911896244,1068.90625,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.388360619544983,0.017464954406023026,0.16059768199920654
690000,38.801,,8.127,586.931,897.3859041132479,957.7265625,0.3675213675213675,100.3,1043.8558493589744,1068.90625,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.3844839334487915,0.018256181851029396,0.19371582567691803
720000,46.392,,11.302,612.736,898.5246969619476,958.55078125,0.3518821603927987,100.3,1043.691892133797,1068.90625,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.3803684711456299,0.01726553589105606,0.23753371834754944
750000,54.8,,7.845,638.592,899.5804220715409,959.6015625,0.3380503144654088,100.3,1043.549687991352,1068.90625,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.376159429550171,0.018704678863286972,0.28478047251701355
780000,53.77,,14.204,664.207,900.5577027473565,959.63671875,0.324773413897281,100.3,1043.4131891993957,1068.90625,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.372207522392273,0.014314218424260616,0.32509562373161316
810000,66.32,,10.778,689.405,901.3847627820232,959.63671875,0.3129548762736536,100.3,1043.2916837245268,1068.90625,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.3690731525421143,0.019192207604646683,0.31148356199264526
840000,71.722,,19.61,715.097,902.2526059954354,959.63671875,0.3019662921348314,100.3,1043.1787109375,1068.90625,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.3648205995559692,0.014345763251185417,0.4261424243450165
870000,73.968,,13.973,740.441,903.0728743224932,959.63671875,0.2913279132791327,100.3,1043.069338584011,1068.90625,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.3605873584747314,0.015639053657650948,0.46960240602493286
900000,87.899,,12.747,766.18,903.772910181848,959.63671875,0.2817824377457405,100.3,1042.9716118528834,1068.90625,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.356178879737854,0.01580759510397911,0.4853855073451996
930000,91.7,,18.183,791.606,904.5132257296956,960.51953125,0.2728426395939086,100.3,1042.8816723508885,1068.90625,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.3517364263534546,0.018676871433854103,0.5802488327026367
960000,104.23,,17.531,817.209,905.4513062423218,961.32421875,0.2641277641277641,100.3,1042.7939957002457,1068.90625,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.3472321033477783,0.019501976668834686,0.6225247383117676
990000,110.236,,8.85,842.746,906.0440395932658,961.32421875,0.2562574493444577,100.3,1043.109798681466,1075.89453125,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.3434373140335083,0.013954327441751957,0.6751409769058228
1020000,112.289,,19.705,866.044,906.6368954828886,961.32421875,0.2494199535962877,100.3,1043.383428799304,1075.89453125,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.3398534059524536,0.016725614666938782,0.7037268280982971
1050000,120.703,,16.289,889.179,907.2474885240111,961.44921875,0.2429378531073446,100.3,1043.5990510240113,1075.89453125,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.3368570804595947,0.01466458011418581,0.7771233320236206
1080000,121.805,,32.428,912.459,907.794874552588,962.1484375,0.236784140969163,100.3,1043.7921169465858,1075.89453125,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.3332158327102661,0.015801765024662018,0.8465835452079773
1110000,131.448,,22.014,935.714,908.3323204466202,962.1484375,0.2306866952789699,100.3,1043.9262590531116,1075.89453125,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.3298757076263428,0.01760556921362877,1.0063142776489258
1140000,128.516,,34.846,958.981,909.10222513089,962.1484375,0.225130890052356,100.3,1044.0492596531417,1075.89453125,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.3264814615249634,0.016110647469758987,1.19913649559021
1170000,145.226,,25.212,982.164,909.5350284381392,962.1484375,0.2198364008179959,100.3,1044.1664749488752,1075.89453125,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.3239105939865112,0.01820184849202633,1.3249926567077637
