step,mean_reward,mean_group_reward,std_reward,time_elapsed,memory_usage_avg_mb,memory_usage_peak_mb,cpu_usage_avg_percent,cpu_usage_peak_percent,gpu_usage_avg_mb,gpu_usage_peak_mb,trainer_type,batch_size,buffer_size,learning_rate,beta,epsilon,lambd,num_epoch,learning_rate_schedule,policy_entropy,losses_policy_loss,losses_value_loss
30000,0.551,,0.621,37.149,626.0099018895348,811.94921875,1.5465116279069768,66.5,872.7779796511628,1061.48046875,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,1.418938398361206,,
60000,0.37,,0.55,62.92,700.1931295955883,920.1953125,0.9779411764705882,66.5,944.6308019301472,1075.78515625,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,1.420282006263733,0.01657758839428425,0.011373749934136868
90000,0.436,,0.683,87.352,742.1592221467391,920.1953125,0.7228260869565217,66.5,978.578804347826,1075.78515625,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,1.4214328527450562,0.019824955612421036,0.0024693943560123444
120000,0.371,,0.594,111.017,768.3595096982758,926.03515625,0.5732758620689655,66.5,998.3624057112067,1075.78515625,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,1.4223531484603882,0.019164815545082092,0.002021239837631583
150000,0.439,,0.676,133.832,783.1663836050725,926.46484375,0.4818840579710144,66.5,1010.3539402173913,1075.78515625,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,1.4223741292953491,0.01880333572626114,0.0016030529513955116
180000,0.603,,1.004,157.348,792.5680217978395,926.46484375,0.4104938271604938,66.5,1019.6469907407408,1075.78515625,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,1.4212913513183594,0.016431311145424843,0.0019957982003688812
210000,0.745,,0.812,182.804,796.920475434492,926.46484375,0.355614973262032,66.5,1026.7907127339572,1075.78515625,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,1.4194109439849854,0.01852818951010704,0.0017682237084954977
240000,0.864,,0.882,206.391,802.9463541666667,926.46484375,0.3166666666666666,66.5,1031.8607142857145,1075.78515625,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,1.4185302257537842,0.015501584857702255,0.00227329577319324
270000,1.526,,1.07,230.795,805.4888822115385,926.46484375,0.2841880341880342,66.5,1036.0661057692307,1075.78515625,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,1.4185187816619873,0.019293401390314102,0.002623714506626129
300000,2.348,,1.547,255.223,807.6843780164093,926.46484375,0.2567567567567567,66.5,1041.4683277027027,1141.046875,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,1.4174630641937256,0.014950811862945557,0.004585917107760906
330000,2.426,,1.886,278.901,809.592891179078,926.46484375,0.2358156028368794,66.5,1049.5899822695037,1141.046875,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,1.417061448097229,0.017707301303744316,0.007386872079223394
360000,3.221,,2.47,303.031,810.8945950776143,926.46484375,0.2173202614379085,66.5,1056.763071895425,1141.046875,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,1.4158515930175781,0.018692677840590477,0.00871721375733614
390000,4.509,,3.02,326.458,812.2663373860182,926.46484375,0.202127659574468,66.5,1062.6552526595744,1141.046875,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,1.416100263595581,0.01929926499724388,0.011831744574010372
420000,6.5,,3.247,353.39,812.7366573033707,926.46484375,0.1867977528089887,66.5,1068.600684691011,1141.046875,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,1.4148048162460327,0.016370752826333046,0.020099837332963943
450000,9.246,,4.054,387.757,812.8293369391025,926.46484375,0.1705128205128205,66.5,1074.9165064102565,1141.046875,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,1.4119359254837036,0.018640846014022827,0.02813011407852173
480000,10.645,,3.631,410.247,813.3865765321602,926.46484375,0.1614077669902912,66.5,1078.447739684466,1141.046875,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,1.4106121063232422,0.017754100263118744,0.044180285185575485
510000,14.004,,5.739,432.519,813.9704961117511,926.46484375,0.1532258064516129,66.5,1081.6209677419354,1141.046875,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,1.4089847803115845,0.018207384273409843,0.056744128465652466
540000,17.568,,6.826,454.281,814.735471491228,926.46484375,0.1458333333333333,66.5,1084.488007127193,1141.046875,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,1.4070351123809814,0.018121061846613884,0.08078810572624207
570000,23.984,,6.964,476.165,815.5605755372118,926.46484375,0.1394129979035639,66.5,1086.978020178197,1141.046875,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,1.4045718908309937,0.014160271733999252,0.10510002821683884
600000,27.378,,5.697,498.345,816.373348259018,926.46484375,0.1332665330661322,66.5,1089.3618173847694,1141.046875,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,1.40115487575531,0.015857625752687454,0.15596801042556763
630000,32.321,,8.734,520.366,817.024667106526,926.46484375,0.1276391554702495,66.5,1091.7735424664108,1158.109375,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,1.3989976644515991,0.018505360931158066,0.20810073614120483
660000,39.783,,12.12,542.93,817.6847807320441,926.46484375,0.1224677716390423,66.5,1094.4611820902394,1158.109375,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,1.3973809480667114,0.01700424775481224,0.2510910630226135
690000,47.347,,8.935,564.887,818.4538647676991,926.46484375,0.1176991150442477,66.5,1096.9395188053095,1158.109375,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,1.394579291343689,0.014307841658592224,0.30169677734375
720000,54.618,,10.408,586.761,819.0447388735093,926.46484375,0.1132879045996592,66.5,1099.2320858177172,1158.109375,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,1.3917343616485596,0.014872046187520027,0.3571375608444214
750000,61.235,,12.656,609.165,819.6634018370279,926.46484375,0.1091954022988505,66.5,1101.491116327997,1166.17578125,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,1.3873684406280518,0.015206160955131054,0.452301561832428
780000,69.566,,12.014,631.215,820.8506091521394,926.46484375,0.1053882725832012,66.5,1103.4587893720286,1166.17578125,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,1.3834396600723267,0.01917039044201374,0.5257357358932495
810000,71.134,,13.85,653.119,821.9463653330781,926.46484375,0.1018376722817764,66.5,1105.283158259954,1166.17578125,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,1.3795440196990967,0.018205543980002403,0.6079720854759216
840000,83.116,,13.372,675.126,822.4351006120178,926.46484375,0.0986646884272997,66.5,1106.806397208828,1166.17578125,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,1.3757435083389282,0.01862131431698799,0.6494649648666382
870000,91.697,,14.778,696.967,822.9150278376437,926.46484375,0.0955459770114942,66.5,1108.1751694953305,1166.17578125,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,1.371224045753479,0.016515890136361122,0.6935442686080933
900000,102.47,,13.282,718.711,823.3895042653203,926.46484375,0.0926183844011142,66.5,1109.2149362378134,1166.17578125,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,1.3665443658828735,0.017459172755479813,0.8416908979415894
930000,109.335,,16.122,740.717,823.8531746870772,926.46484375,0.0899864682002706,66.5,1110.1496902486467,1166.17578125,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,1.3624989986419678,0.016996607184410095,0.9661062359809875
