step,mean_reward,mean_group_reward,std_reward,time_elapsed,memory_usage_avg_mb,memory_usage_peak_mb,cpu_usage_avg_percent,cpu_usage_peak_percent,gpu_usage_avg_mb,gpu_usage_peak_mb,trainer_type,batch_size,buffer_size,learning_rate,beta,epsilon,lambd,num_epoch,learning_rate_schedule,policy_entropy,losses_policy_loss,losses_value_loss
30000,1.327,,1.123,41.533,703.0359738372093,797.2890625,4.311627906976744,99.4,1259.9688408430231,1263.33984375,sac,256,500000,0.0003,,,,,constant,1.3755265474319458,-13.595431327819824,1.5049186944961548
60000,1.393,,1.762,86.163,774.3629261363636,875.1875,2.106818181818182,99.4,1263.4643998579545,1273.16015625,sac,256,500000,0.0003,,,,,constant,1.3575769662857056,-35.21495819091797,0.23597973585128784
90000,0.806,,0.917,131.482,820.9082178101504,953.0703125,1.393984962406015,99.4,1260.3772027725563,1273.16015625,sac,256,500000,0.0003,,,,,constant,1.3924753665924072,-51.477088928222656,0.208479642868042
120000,1.15,,1.272,176.614,860.8344809322034,1013.19140625,1.0474576271186442,99.4,1257.188625529661,1273.16015625,sac,256,500000,0.0003,,,,,constant,1.4178733825683594,-59.67089080810547,0.1642114371061325
150000,1.058,,1.083,221.96,897.8806306306307,1068.65625,0.8351351351351352,99.4,1255.2286739864865,1273.16015625,sac,256,500000,0.0003,,,,,constant,1.4332157373428345,-62.63670349121094,0.12310806661844254
180000,1.064,,1.129,267.605,933.6076193820224,1134.73046875,0.6943820224719102,99.4,1253.929380266854,1273.16015625,sac,256,500000,0.0003,,,,,constant,1.4306843280792236,-62.5551643371582,0.09674994647502899
210000,0.986,,0.825,313.001,968.9890825320512,1213.41015625,0.5942307692307692,99.4,1253.0048828125,1273.16015625,sac,256,500000,0.0003,,,,,constant,1.4176920652389526,-60.7011833190918,0.06803618371486664
240000,1.519,,1.237,358.3,1002.518962272409,1250.4765625,0.519327731092437,99.4,1252.3134519432774,1273.16015625,sac,256,500000,0.0003,,,,,constant,1.3981002569198608,-57.83210754394531,0.051577214151620865
270000,2.43,,1.585,403.884,1033.5601776274875,1309.84765625,0.4611940298507462,99.4,1251.776819029851,1273.16015625,sac,256,500000,0.0003,,,,,constant,1.3594468832015991,-54.43026351928711,0.042917441576719284
300000,0.929,,0.865,449.499,1065.9332885742188,1384.50390625,0.4138392857142857,99.4,1251.3396868024554,1273.16015625,sac,256,500000,0.0003,,,,,constant,1.3012354373931885,-50.88834762573242,0.029932746663689613
330000,1.364,,1.732,494.702,1097.2093257748984,1449.015625,0.3768292682926829,99.4,1250.998046875,1273.16015625,sac,256,500000,0.0003,,,,,constant,1.2403292655944824,-47.38962936401367,0.02222513221204281
360000,0.334,,0.371,540.236,1130.2627933317845,1523.3359375,0.3446096654275093,99.4,1250.70062732342,1273.16015625,sac,256,500000,0.0003,,,,,constant,1.1689358949661255,-44.05244827270508,0.018080532550811768
390000,0.049,,0.106,585.345,1162.1256644652062,1585.1640625,0.3185567010309278,99.4,1250.4601320876288,1273.16015625,sac,256,500000,0.0003,,,,,constant,1.0650256872177124,-40.99698257446289,0.015541798435151577
420000,0.181,,0.338,631.43,1195.5580090565286,1653.921875,0.2952229299363057,99.4,1250.244737758758,1273.16015625,sac,256,500000,0.0003,,,,,constant,0.9478626847267151,-38.1589241027832,0.014459698460996151
450000,2.123,,1.149,676.575,1228.4365945393758,1724.71875,0.275482912332838,99.4,1249.9872945300892,1273.16015625,sac,256,500000,0.0003,,,,,constant,0.7813957929611206,-35.47795486450195,0.010526346042752266
480000,3.231,,1.593,722.985,1262.109380432893,1794.1484375,0.2578581363004172,99.4,1249.9877053633518,1273.16015625,sac,256,500000,0.0003,,,,,constant,0.6759856939315796,-32.981529235839844,0.008709708228707314
510000,2.016,,1.495,768.286,1295.3762526587043,1874.703125,0.2426701570680628,99.4,1249.819504662958,1273.16015625,sac,256,500000,0.0003,,,,,constant,0.6236982941627502,-30.64910888671875,0.0058092824183404446
540000,0.9,,0.77,815.15,1324.935763888889,1881.1875,0.2288888888888889,99.4,1249.621450617284,1273.16015625,sac,256,500000,0.0003,,,,,constant,0.5282512903213501,-28.441015243530273,0.004308656323701143
570000,1.3,,1.335,860.217,1350.5614629020467,1881.1875,0.2168421052631579,99.4,1249.4483232821638,1273.16015625,sac,256,500000,0.0003,,,,,constant,0.49427148699760437,-26.3780460357666,0.0032099916134029627
