step,mean_reward,mean_group_reward,std_reward,time_elapsed,memory_usage_avg_mb,memory_usage_peak_mb,cpu_usage_avg_percent,cpu_usage_peak_percent,gpu_usage_avg_mb,gpu_usage_peak_mb,trainer_type,batch_size,buffer_size,learning_rate,beta,epsilon,lambd,num_epoch,learning_rate_schedule,policy_entropy,losses_policy_loss,losses_value_loss
30000,1.042,,1.264,72.978,755.0205458603896,868.51953125,1.6675324675324676,87.5,1159.7091619318182,1297.64453125,sac,256,500000,0.0003,,,,,constant,1.3432613611221313,-15.308868408203125,0.7630959153175354
60000,0.795,,0.862,154.238,835.4199960443038,941.7734375,0.8126582278481013,87.5,1143.7055231408228,1297.64453125,sac,256,500000,0.0003,,,,,constant,1.2913079261779785,-40.23443603515625,0.07539927214384079
90000,0.58,,0.693,234.076,882.1973397943038,1003.45703125,0.5417721518987342,87.5,1136.9490044831225,1297.64453125,sac,256,500000,0.0003,,,,,constant,1.2952252626419067,-59.21998977661133,0.05409790948033333
120000,1.141,,1.11,315.261,922.8080762026814,1068.2734375,0.4050473186119874,87.5,1126.3827139195585,1297.64453125,sac,256,500000,0.0003,,,,,constant,1.293267011642456,-70.07743072509766,0.04065607488155365
150000,1.35,,1.209,397.079,959.8358493890976,1135.33203125,0.3218045112781955,87.5,1125.3045504385964,1297.64453125,sac,256,500000,0.0003,,,,,constant,1.2903754711151123,-75.73497009277344,0.03589259833097458
180000,1.198,,1.053,479.13,996.1152669270832,1210.390625,0.2675,87.5,1123.3008219401042,1297.64453125,sac,256,500000,0.0003,,,,,constant,1.2879449129104614,-78.09996032714844,0.028636202216148376
210000,1.282,,1.362,560.461,1033.0803501674106,1285.74609375,0.2292857142857143,87.5,1119.0311732700893,1297.64453125,sac,256,500000,0.0003,,,,,constant,1.2836544513702393,-78.4034194946289,0.01866341568529606
240000,1.614,,1.149,641.74,1069.418980352964,1350.2578125,0.2003120124804992,87.5,1113.750682527301,1297.64453125,sac,256,500000,0.0003,,,,,constant,1.2743439674377441,-77.45950317382812,0.019309978932142258
270000,1.033,,1.169,722.819,1104.9125021671289,1410.7421875,0.1780859916782247,87.5,1109.516166782247,1297.64453125,sac,256,500000,0.0003,,,,,constant,1.2589921951293945,-75.80272674560547,0.013182911090552807
300000,2.391,,2.113,804.761,1140.8064971201743,1490.953125,0.1599003735990037,87.5,1106.5556409557908,1297.64453125,sac,256,500000,0.0003,,,,,constant,1.2321062088012695,-73.72978973388672,0.011060674674808979
330000,3.385,,2.21,887.694,1176.308757062147,1550.11328125,0.1450847457627118,87.5,1108.1426421257063,1297.64453125,sac,256,500000,0.0003,,,,,constant,1.1918290853500366,-71.4290771484375,0.007455913349986076
360000,4.889,,3.027,970.921,1211.2534497802485,1610.25390625,0.1327817993795243,87.5,1108.0673676641677,1297.64453125,sac,256,500000,0.0003,,,,,constant,1.1618765592575073,-69.04863739013672,0.006282908376306295
390000,6.515,,3.489,1053.381,1245.76894289204,1677.52734375,0.1224022878932316,87.5,1107.6930000297905,1297.64453125,sac,256,500000,0.0003,,,,,constant,1.0701982975006104,-66.6444320678711,0.005545920692384243
420000,6.257,,3.999,1136.328,1279.8210447060123,1752.59765625,0.1135278514588859,87.5,1108.520408515694,1297.64453125,sac,256,500000,0.0003,,,,,constant,1.0146327018737793,-64.27033233642578,0.00444679893553257
450000,4.706,,4.193,1223.11,1315.7188270336894,1818.9140625,0.105505341002465,87.5,1113.6764552947825,1323.84765625,sac,256,500000,0.0003,,,,,constant,0.8931918144226074,-61.97292709350586,0.003528645960614085
480000,17.897,,14.537,1306.822,1350.0567908653843,1880.8203125,0.0987692307692307,87.5,1115.5553365384617,1357.13671875,sac,256,500000,0.0003,,,,,constant,0.7098955512046814,-59.75359344482422,0.0034301909618079662
510000,24.803,,12.889,1389.185,1384.2963605734442,1967.8203125,0.0929088277858176,87.5,1119.4192972141825,1363.32421875,sac,256,500000,0.0003,,,,,constant,0.5111895799636841,-57.6323356628418,0.0030868775211274624
540000,36.331,,17.123,1472.935,1414.3217976749147,1981.5078125,0.0876450511945392,87.5,1122.4714270477816,1363.32421875,sac,256,500000,0.0003,,,,,constant,0.3311219811439514,-55.68385696411133,0.003138891886919737
570000,39.268,,21.531,1553.481,1439.816798139159,1981.5078125,0.0831067961165048,87.5,1125.6489962580906,1363.32421875,sac,256,500000,0.0003,,,,,constant,0.19630976021289825,-53.94443893432617,0.004647099878638983
600000,47.988,,22.31,1636.544,1464.5197977489245,1981.5078125,0.078918254456054,87.5,1128.993299112631,1372.55078125,sac,256,500000,0.0003,,,,,constant,0.25743839144706726,-52.43284225463867,0.004725995007902384
630000,97.758,,24.576,1723.189,1488.89216880108,1981.5078125,0.0749562171628721,87.5,1140.2968020286048,1481.08984375,sac,256,500000,0.0003,,,,,constant,0.20444530248641968,-51.13302230834961,0.007594252470880747
660000,153.977,,24.157,1805.092,1501.0951261148273,1981.5078125,0.071571906354515,87.5,1152.4293543582776,1481.08984375,sac,256,500000,0.0003,,,,,constant,0.2652842700481415,-50.18696594238281,0.009973742999136448
690000,187.645,,50.451,1887.63,1510.8730052305436,1981.5078125,0.0684434968017057,87.5,1164.1735761760394,1489.93359375,sac,256,500000,0.0003,,,,,constant,0.3285156190395355,-49.34658432006836,0.012585480697453022
720000,215.647,,70.745,1970.519,1520.593313090526,1981.5078125,0.0655771195097037,87.5,1178.015988093718,1581.7890625,sac,256,500000,0.0003,,,,,constant,0.37261196970939636,-48.686431884765625,0.015630003064870834
750000,256.1,,46.748,2052.445,1529.606031985655,1981.5078125,0.0629720451201569,87.5,1187.8321423645168,1581.7890625,sac,256,500000,0.0003,,,,,constant,0.41100189089775085,-48.32198715209961,0.01843033917248249
780000,278.582,,33.396,2134.821,1530.1606350925272,1981.5078125,0.0605374823196605,87.5,1196.5976654585102,1581.7890625,sac,256,500000,0.0003,,,,,constant,0.39107754826545715,-48.29085159301758,0.022403324022889137
810000,290.6,,38.11,2216.666,1531.3175948001815,1981.5078125,0.0583106267029972,87.5,1203.9795054921665,1581.7890625,sac,256,500000,0.0003,,,,,constant,0.42374128103256226,-48.36478805541992,0.028143571689724922
840000,335.602,,65.952,2301.223,1532.993469078084,1981.5078125,0.0561679790026246,87.5,1213.8357580790682,1796.77734375,sac,256,500000,0.0003,,,,,constant,0.46496641635894775,-48.55567169189453,0.033786624670028687
870000,367.877,,54.599,2384.564,1533.9438146642738,1981.5078125,0.0542229729729729,87.5,1221.329680571685,1796.77734375,sac,256,500000,0.0003,,,,,constant,0.43823978304862976,-49.14773178100586,0.04340540990233421
