step,mean_reward,mean_group_reward,std_reward,time_elapsed,memory_usage_avg_mb,memory_usage_peak_mb,cpu_usage_avg_percent,cpu_usage_peak_percent,gpu_usage_avg_mb,gpu_usage_peak_mb,trainer_type,batch_size,buffer_size,learning_rate,beta,epsilon,lambd,num_epoch,learning_rate_schedule,policy_entropy,losses_policy_loss,losses_value_loss
30000,0.294,,0.376,27.913,619.000732421875,809.0078125,5.35,86.0,1109.7823486328125,1130.6484375,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear,1.418938398361206,,
60000,0.321,,0.557,87.015,847.1017795138889,1032.14453125,1.902222222222222,86.0,1124.4808159722222,1251.33203125,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear,1.418939232826233,0.011546803638339043,0.0042719244956970215
90000,0.333,,0.374,105.795,865.6277594610092,1032.14453125,1.5706422018348625,86.0,1127.8367259174313,1251.33203125,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear,1.4189401865005493,,
120000,0.599,,0.652,163.18,907.076278409091,1040.765625,1.0375757575757576,86.0,1167.5251893939394,1338.78515625,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear,1.4172484874725342,0.01188291423022747,0.000924603664316237
150000,0.359,,0.574,223.044,930.5252951388889,1040.765625,0.7608888888888888,86.0,1205.1494965277775,1507.0078125,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear,1.4143118858337402,0.01241366658359766,0.0010258264373987913
180000,0.691,,0.849,241.836,932.3838091563786,1040.765625,0.7045267489711934,86.0,1213.751093106996,1507.0078125,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear,1.4113279581069946,,
210000,0.569,,0.791,298.487,943.2147005208334,1040.765625,0.5706666666666667,86.0,1212.8197135416667,1507.0078125,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear,1.4043692350387573,0.012590335682034492,0.0015154015272855759
240000,0.687,,0.773,357.26,953.2833013268156,1040.765625,0.4782122905027933,86.0,1225.922387831704,1507.0078125,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear,1.4001981019973755,0.013286188244819641,0.0011935544898733497
270000,0.987,,0.949,375.826,953.6045856881648,1040.765625,0.4553191489361702,86.0,1222.165298786569,1507.0078125,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear,1.395959496498108,,
300000,0.963,,1.086,433.61,959.4199444284064,1040.765625,0.3953810623556582,86.0,1215.1139849162817,1507.0078125,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear,1.388204574584961,0.012385189533233643,0.0016923787770792842
