step,mean_reward,mean_group_reward,std_reward,time_elapsed,memory_usage_avg_mb,memory_usage_peak_mb,cpu_usage_avg_percent,cpu_usage_peak_percent,gpu_usage_avg_mb,gpu_usage_peak_mb,trainer_type,batch_size,buffer_size,learning_rate,beta,epsilon,lambd,num_epoch,learning_rate_schedule,policy_entropy,losses_policy_loss,losses_value_loss
30000,0.447,,0.54,30.856,678.166074810606,781.48828125,5.212121212121212,100.3,1535.241240530303,1588.21484375,ppo,256,2560,0.0003,0.005,0.1,0.95,3,linear,1.418370008468628,0.050913531333208084,0.002791415434330702
60000,0.571,,1.026,54.275,719.6367885044643,783.80078125,3.071428571428572,100.3,1523.078752790179,1588.21484375,ppo,256,2560,0.0003,0.005,0.1,0.95,3,linear,1.41751229763031,0.04980362951755524,0.0012877356493845582
90000,0.891,,1.132,77.606,736.9382911392405,785.25390625,2.1772151898734178,100.3,1507.597112341772,1588.21484375,ppo,256,2560,0.0003,0.005,0.1,0.95,3,linear,1.4116874933242798,0.04978974908590317,0.002052373019978404
120000,2.818,,2.236,100.962,745.8048406862745,785.25390625,1.6862745098039216,100.3,1497.3038832720588,1588.21484375,ppo,256,2560,0.0003,0.005,0.1,0.95,3,linear,1.4005329608917236,0.05230201408267021,0.00831875391304493
150000,5.352,,3.112,124.264,752.65290625,785.79296875,1.376,100.3,1490.3420625,1588.21484375,ppo,256,2560,0.0003,0.005,0.1,0.95,3,linear,1.3916606903076172,0.04783590883016586,0.015670379623770714
180000,13.516,,5.987,147.567,757.1602090371622,786.4609375,1.162162162162162,100.3,1485.3286792652027,1588.21484375,ppo,256,2560,0.0003,0.005,0.1,0.95,3,linear,1.3856042623519897,0.049976907670497894,0.06012320518493652
210000,24.581,,9.547,171.006,760.3907612645348,786.4609375,1.0,100.3,1481.320426053779,1588.21484375,ppo,256,2560,0.0003,0.005,0.1,0.95,3,linear,1.374782681465149,0.048643894493579865,0.12499354034662247
240000,38.791,,9.125,194.374,762.8425480769231,786.4609375,0.882051282051282,100.3,1478.2772435897436,1588.21484375,ppo,256,2560,0.0003,0.005,0.1,0.95,3,linear,1.3614838123321533,0.04536832496523857,0.2728424370288849
270000,54.678,,13.81,217.823,764.2776304472477,786.4609375,0.7889908256880734,100.3,1475.849824397936,1588.21484375,ppo,256,2560,0.0003,0.005,0.1,0.95,3,linear,1.3472098112106323,0.048061128705739975,0.38914501667022705
300000,64.915,,15.549,241.206,766.1299760114108,786.4609375,0.7136929460580913,100.3,1473.1013679979253,1588.21484375,ppo,256,2560,0.0003,0.005,0.1,0.95,3,linear,1.329062581062317,0.045766402035951614,0.48364174365997314
330000,80.827,,19.106,264.602,767.7671342329545,786.8203125,0.6515151515151515,100.3,1470.3907581676135,1588.21484375,ppo,256,2560,0.0003,0.005,0.1,0.95,3,linear,1.314956545829773,0.04786587506532669,0.7108052372932434
360000,88.764,,12.255,287.963,769.2309163411459,787.48046875,0.5972222222222222,100.3,1467.2285291883682,1588.21484375,ppo,256,2560,0.0003,0.005,0.1,0.95,3,linear,1.3020081520080566,0.04591413214802742,0.9331587553024292
390000,105.407,,21.021,311.6,769.5879471463022,787.48046875,0.5530546623794212,100.3,1464.0676748392284,1588.21484375,ppo,256,2560,0.0003,0.005,0.1,0.95,3,linear,1.2897964715957642,0.049421630799770355,1.1778982877731323
420000,123.113,,23.806,334.779,768.2556605538922,787.48046875,0.5149700598802395,100.3,1460.8385923465569,1588.21484375,ppo,256,2560,0.0003,0.005,0.1,0.95,3,linear,1.2747881412506104,0.04729035496711731,1.4631282091140747
450000,152.302,,34.58,358.113,767.1094406512605,787.48046875,0.4817927170868347,100.3,1457.5746017156862,1588.21484375,ppo,256,2560,0.0003,0.005,0.1,0.95,3,linear,1.2606548070907593,0.049602821469306946,1.691474437713623
480000,174.845,,34.358,381.293,766.1329872532895,787.48046875,0.4526315789473684,100.3,1454.217732319079,1588.21484375,ppo,256,2560,0.0003,0.005,0.1,0.95,3,linear,1.2475817203521729,0.046078506857156754,1.97675359249115
510000,203.317,,47.098,404.634,765.4490442772952,787.48046875,0.4267990074441687,100.3,1450.864996898263,1588.21484375,ppo,256,2560,0.0003,0.005,0.1,0.95,3,linear,1.2323285341262817,0.05043695122003555,2.711636781692505
540000,216.317,,31.677,427.755,765.3044949383802,787.48046875,0.4037558685446009,100.3,1447.2110016872066,1588.21484375,ppo,256,2560,0.0003,0.005,0.1,0.95,3,linear,1.2172778844833374,0.047050636261701584,2.662580728530884
570000,258.953,,33.362,451.081,764.9776499860802,787.48046875,0.3830734966592428,100.3,1443.936482113029,1588.21484375,ppo,256,2560,0.0003,0.005,0.1,0.95,3,linear,1.2041288614273071,0.051577068865299225,3.6384379863739014
600000,292.475,,36.592,474.444,764.8209580243644,787.48046875,0.3644067796610169,100.3,1441.2667753575213,1588.21484375,ppo,256,2560,0.0003,0.005,0.1,0.95,3,linear,1.1886309385299683,0.04757443442940712,4.041196823120117
630000,320.228,,47.215,498.136,764.6592111895161,787.48046875,0.3467741935483871,100.3,1439.00386687248,1588.21484375,ppo,256,2560,0.0003,0.005,0.1,0.95,3,linear,1.17513108253479,0.04611039161682129,4.702850818634033
660000,350.421,,39.193,521.381,764.6491224108863,787.48046875,0.3314065510597302,100.3,1437.031633851156,1588.21484375,ppo,256,2560,0.0003,0.005,0.1,0.95,3,linear,1.1634963750839233,0.04942264035344124,4.607975482940674
690000,363.166,,53.562,544.585,764.6758749423432,787.48046875,0.3173431734317343,100.3,1435.2286309386532,1588.21484375,ppo,256,2560,0.0003,0.005,0.1,0.95,3,linear,1.1524516344070435,0.04829271510243416,5.063268184661865
720000,411.267,,38.884,568.01,764.7360896017699,787.48046875,0.3044247787610619,100.3,1433.5731955199117,1588.21484375,ppo,256,2560,0.0003,0.005,0.1,0.95,3,linear,1.140419840812683,0.048050105571746826,5.525566577911377
750000,448.866,,44.933,591.348,764.7779615752551,787.48046875,0.2925170068027211,100.3,1432.0472669536564,1588.21484375,ppo,256,2560,0.0003,0.005,0.1,0.95,3,linear,1.1303452253341675,0.05292462557554245,7.587724685668945
780000,488.155,,47.988,614.724,764.7814545826513,787.48046875,0.281505728314239,100.3,1430.636220079787,1588.21484375,ppo,256,2560,0.0003,0.005,0.1,0.95,3,linear,1.119853138923645,0.047694042325019836,7.320402145385742
810000,503.658,,41.352,637.98,764.8290122239748,787.48046875,0.2712933753943217,100.3,1429.2141844932964,1588.21484375,ppo,256,2560,0.0003,0.005,0.1,0.95,3,linear,1.1084353923797607,0.047346919775009155,7.354732036590576
840000,513.496,,59.923,661.227,764.6710545091324,787.48046875,0.2617960426179604,100.3,1427.60946418379,1588.21484375,ppo,256,2560,0.0003,0.005,0.1,0.95,3,linear,1.0971211194992065,0.04691700264811516,7.921823501586914
870000,546.09,,52.839,684.565,764.4859007892804,787.48046875,0.2525697503671072,100.3,1426.0505403359032,1588.21484375,ppo,256,2560,0.0003,0.005,0.1,0.95,3,linear,1.0851531028747559,0.04838470369577408,8.266982078552246
900000,568.147,,67.763,707.829,764.3171275745739,787.48046875,0.2443181818181818,100.3,1424.6577314897015,1588.21484375,ppo,256,2560,0.0003,0.005,0.1,0.95,3,linear,1.0742112398147583,0.04584189131855965,7.581738471984863
930000,615.46,,57.081,731.072,764.1667006963548,787.48046875,0.2365887207702888,100.3,1423.3536526392709,1588.21484375,ppo,256,2560,0.0003,0.005,0.1,0.95,3,linear,1.0651808977127075,0.048678603023290634,9.606456756591797
960000,621.996,,64.795,754.321,764.0410625,787.48046875,0.2293333333333333,100.3,1422.130223958333,1588.21484375,ppo,256,2560,0.0003,0.005,0.1,0.95,3,linear,1.0563825368881226,0.05058035999536514,8.827042579650879
990000,690.459,,43.833,777.617,763.9121119016818,787.48046875,0.222509702457956,100.3,1420.9808123787193,1588.21484375,ppo,256,2560,0.0003,0.005,0.1,0.95,3,linear,1.0472500324249268,0.049612704664468765,8.64190673828125
