step,mean_reward,mean_group_reward,std_reward,time_elapsed,memory_usage_avg_mb,memory_usage_peak_mb,cpu_usage_avg_percent,cpu_usage_peak_percent,gpu_usage_avg_mb,gpu_usage_peak_mb,trainer_type,batch_size,buffer_size,learning_rate,beta,epsilon,lambd,num_epoch,learning_rate_schedule,policy_entropy,losses_policy_loss,losses_value_loss
30000,0.296,,0.448,35.965,708.0094572368421,900.3359375,5.742105263157894,147.2,1178.0104851973683,1207.29296875,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,1.4190901517868042,0.016143379732966423,0.017456375062465668
60000,0.382,,0.669,64.722,778.0692047574627,903.96484375,3.2567164179104475,147.2,1173.27489505597,1207.29296875,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,1.4197218418121338,0.018236981704831123,0.007120220456272364
90000,0.276,,0.471,96.649,812.9229797979798,910.390625,2.204040404040404,147.2,1173.4849668560605,1207.29296875,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,1.420246958732605,0.01722445897758007,0.004027660004794598
120000,0.382,,0.676,122.847,826.9840625,910.390625,1.7455999999999998,147.2,1172.18015625,1207.29296875,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,1.4207395315170288,0.016278207302093506,0.003033712739124894
150000,0.438,,0.73,152.716,837.2477932224026,913.15625,1.4168831168831169,147.2,1170.8913859577922,1207.29296875,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,1.4211448431015015,0.01726488396525383,0.002509798388928175
180000,0.706,,0.882,178.655,843.5483289930555,913.15625,1.212222222222222,147.2,1170.2133680555555,1207.29296875,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,1.4215283393859863,0.014912444166839123,0.0028288699686527252
210000,0.4,,0.637,204.599,848.6736195388349,913.15625,1.0592233009708738,147.2,1169.7110512742718,1207.29296875,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,1.421927571296692,0.020578179508447647,0.0020814232993870974
240000,0.405,,0.557,234.991,853.9487056408898,913.87890625,0.9245762711864406,147.2,1169.1218220338983,1207.29296875,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,1.4224138259887695,0.019240189343690872,0.0017572916112840176
270000,0.471,,0.57,261.069,856.8326276240458,914.14453125,0.832824427480916,147.2,1168.817539360687,1207.29296875,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,1.4228276014328003,0.015157816931605339,0.0017962197307497263
300000,0.259,,0.416,291.06,860.0503933005137,914.76953125,0.7472602739726028,147.2,1168.4476669520548,1207.29296875,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,1.4231922626495361,0.014057141728699207,0.001493060844950378
330000,0.313,,0.474,317.089,862.1450611198738,916.20703125,0.6883280757097792,147.2,1168.2648486790222,1207.29296875,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,1.4236011505126953,0.01433406863361597,0.0015472805825993419
360000,0.557,,0.737,342.95,864.7111652696793,916.20703125,0.6361516034985423,147.2,1168.0700961188047,1207.29296875,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,1.4239505529403687,0.013814076781272888,0.0013929941924288869
390000,0.6,,0.792,372.998,867.2636352211796,917.1484375,0.5849865951742627,147.2,1168.0004503183643,1207.29296875,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,1.4242991209030151,0.01877317763864994,0.0018659302731975913
420000,0.498,,0.708,398.879,868.8832922149123,917.1484375,0.5468671679197995,147.2,1167.895001174812,1207.29296875,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,1.4244986772537231,0.01671612448990345,0.0018409807235002518
450000,0.443,,0.536,429.287,870.4595170454545,917.734375,0.5086247086247085,147.2,1167.72329363345,1207.29296875,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,1.4248067140579224,0.016873804852366447,0.0015380453551188111
480000,0.659,,0.737,454.939,871.5824700578194,919.36328125,0.4806167400881057,147.2,1167.604926693282,1207.29296875,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,1.4251700639724731,0.015997067093849182,0.0021048495545983315
510000,0.49,,0.73,481.596,872.5610382016632,919.36328125,0.4536382536382536,147.2,1167.56349889553,1207.29296875,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,1.4254177808761597,0.017386112362146378,0.0019666284788399935
540000,0.741,,0.905,511.856,873.4004479574364,928.8203125,0.4270058708414873,147.2,1167.4558081580235,1207.29296875,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,1.4258382320404053,0.01669546589255333,0.0017759553156793118
570000,0.621,,0.837,537.714,873.0414164528918,928.8203125,0.4070895522388059,147.2,1167.402190706623,1207.29296875,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,1.4261504411697388,0.016757477074861526,0.001797021715901792
600000,0.884,,1.161,567.493,872.633523354682,928.8203125,0.3855123674911661,147.2,1167.3170480896642,1207.29296875,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,1.4264461994171143,0.019153058528900146,0.002308476949110627
630000,0.568,,0.939,593.348,872.1911159206081,928.8203125,0.368581081081081,147.2,1167.2421017208617,1207.29296875,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,1.4267573356628418,0.017629999667406082,0.0015267840353772044
660000,1.087,,1.07,623.626,872.1324608118971,928.8203125,0.3508038585209003,147.2,1167.1612929561898,1207.29296875,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,1.4270330667495728,0.01704392209649086,0.002280457643792033
690000,0.659,,0.81,649.461,871.9670534679288,928.8203125,0.3372488408037094,147.2,1167.1232310181608,1207.29296875,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,1.4272875785827637,0.018937069922685623,0.0019461946794763207
