step,mean_reward,mean_group_reward,std_reward,time_elapsed,memory_usage_avg_mb,memory_usage_peak_mb,cpu_usage_avg_percent,cpu_usage_peak_percent,gpu_usage_avg_mb,gpu_usage_peak_mb,trainer_type,batch_size,buffer_size,learning_rate,beta,epsilon,lambd,num_epoch,learning_rate_schedule,policy_entropy,losses_policy_loss,losses_value_loss
30000,0.81,,0.724,65.105,791.8585004664179,884.8359375,3.753731343283582,150.7,1281.316989272388,1289.59765625,sac,256,500000,0.0003,,,,,constant,1.3467421531677246,-15.1643648147583,0.7581449151039124
60000,0.827,,1.058,145.372,865.1192867772108,956.44921875,1.7108843537414966,150.7,1272.7828178146258,1289.59765625,sac,256,500000,0.0003,,,,,constant,1.2948100566864014,-39.89099884033203,0.07400133460760117
90000,1.064,,1.241,223.91,908.9971354166668,1017.22265625,1.1177777777777778,150.7,1266.22828125,1289.59765625,sac,256,500000,0.0003,,,,,constant,1.296155571937561,-58.918128967285156,0.059388238936662674
120000,0.756,,0.953,303.265,948.1989874588816,1096.3125,0.8273026315789473,150.7,1262.9887181332238,1289.59765625,sac,256,500000,0.0003,,,,,constant,1.2905956506729126,-69.80490112304688,0.03928154334425926
150000,0.722,,0.768,382.519,982.8098719731676,1144.4140625,0.6583769633507853,150.7,1261.0991083115184,1289.59765625,sac,256,500000,0.0003,,,,,constant,1.2878358364105225,-75.46669006347656,0.02750668115913868
180000,1.092,,1.169,461.637,1013.4123932348156,1191.125,0.5455531453362256,150.7,1259.827692855206,1289.59765625,sac,256,500000,0.0003,,,,,constant,1.2897950410842896,-77.85962677001953,0.022267822176218033
210000,0.696,,0.931,541.172,1045.4497912801485,1265.4765625,0.4666048237476808,150.7,1258.9512624652134,1289.59765625,sac,256,500000,0.0003,,,,,constant,1.2843108177185059,-78.21206665039062,0.018199434503912926
240000,1.125,,1.625,621.272,1078.998561187399,1332.33984375,0.4063004846526656,150.7,1258.2756146506465,1289.59765625,sac,256,500000,0.0003,,,,,constant,1.2773791551589966,-77.3093032836914,0.017633460462093353
270000,1.078,,1.04,700.758,1112.1833419143982,1402.90625,0.3603151862464183,150.7,1257.7805336676215,1289.59765625,sac,256,500000,0.0003,,,,,constant,1.264868974685669,-75.67164611816406,0.013950983062386513
300000,0.992,,1.036,780.915,1145.3576506193697,1463.24609375,0.3236808236808237,150.7,1257.3784839527027,1289.59765625,sac,256,500000,0.0003,,,,,constant,1.2439854145050049,-73.59928131103516,0.011325530707836151
330000,2.308,,1.596,861.288,1179.0037011376896,1530.72265625,0.293465577596266,150.7,1257.0354661974914,1289.59765625,sac,256,500000,0.0003,,,,,constant,1.2276684045791626,-71.2922134399414,0.007836760021746159
360000,4.31,,3.088,941.123,1212.232434395032,1596.16796875,0.2686965811965812,150.7,1256.766401241987,1289.59765625,sac,256,500000,0.0003,,,,,constant,1.1857502460479736,-68.90160369873047,0.006557059474289417
390000,6.29,,4.053,1021.761,1245.8628506397638,1665.0078125,0.2475393700787401,150.7,1256.5336260457675,1289.59765625,sac,256,500000,0.0003,,,,,constant,1.1324851512908936,-66.48326110839844,0.004390101879835129
420000,7.027,,4.854,1101.71,1279.0359981449772,1733.546875,0.2296803652968036,150.7,1256.346857163242,1289.59765625,sac,256,500000,0.0003,,,,,constant,1.0372095108032227,-64.09777069091797,0.004361314699053764
450000,8.361,,7.992,1183.226,1313.0176046981292,1800.8828125,0.213860544217687,150.7,1256.1696760735545,1289.59765625,sac,256,500000,0.0003,,,,,constant,0.9244705438613892,-61.78445053100586,0.0039976732805371284
480000,11.429,,7.084,1263.095,1345.872593999004,1861.9921875,0.200398406374502,150.7,1256.1953156125498,1289.59765625,sac,256,500000,0.0003,,,,,constant,0.7777799367904663,-59.5515022277832,0.0033085718750953674
510000,19.089,,12.002,1343.554,1379.6051322565545,1948.54296875,0.1883895131086142,150.7,1256.2926937031834,1289.59765625,sac,256,500000,0.0003,,,,,constant,0.5647981762886047,-57.413753509521484,0.0026941606774926186
540000,14.315,,9.026,1425.325,1409.299953654661,1966.11328125,0.1776129943502825,150.7,1256.2929742673025,1289.59765625,sac,256,500000,0.0003,,,,,constant,0.4028622806072235,-55.41157913208008,0.002585237380117178
570000,19.374,,11.851,1505.068,1434.7132551212374,1966.11328125,0.1682274247491638,150.7,1256.292550689799,1289.59765625,sac,256,500000,0.0003,,,,,constant,0.23646917939186096,-53.54257583618164,0.0031607067212462425
600000,55.321,,35.406,1586.448,1459.1587186706852,1966.11328125,0.1595812182741116,150.7,1256.2884031963831,1289.59765625,sac,256,500000,0.0003,,,,,constant,0.07452671229839325,-51.80723190307617,0.003192042000591755
630000,35.277,,21.101,1666.8,1482.0874094202898,1966.11328125,0.1518719806763285,150.7,1256.290791534571,1289.59765625,sac,256,500000,0.0003,,,,,constant,0.08520527929067612,-50.22931671142578,0.003422719892114401
660000,88.143,,44.792,1746.054,1499.0152600562285,1966.11328125,0.145040369088812,150.7,1256.2963275843426,1289.59765625,sac,256,500000,0.0003,,,,,constant,0.11411432921886444,-48.87966537475586,0.005242226179689169
690000,85.813,,27.678,1827.098,1515.8652677341595,1966.11328125,0.1385674931129476,150.7,1256.2963520144629,1289.59765625,sac,256,500000,0.0003,,,,,constant,0.2124679684638977,-47.63495635986328,0.006175347603857517
720000,157.455,,44.494,1906.947,1532.2911352461722,1966.11328125,0.1327877507919746,150.7,1256.3033036067843,1289.59765625,sac,256,500000,0.0003,,,,,constant,0.2052898406982422,-46.56465148925781,0.008549836464226246
750000,148.733,,52.974,1988.234,1547.6092028400456,1967.2265625,0.1274062816616008,150.7,1256.309723673379,1289.59765625,sac,256,500000,0.0003,,,,,constant,0.29864969849586487,-45.74266052246094,0.011760002002120018
780000,190.504,,61.477,2067.799,1560.166340035923,1967.2265625,0.1225036531904529,150.7,1256.3183926723088,1289.59765625,sac,256,500000,0.0003,,,,,constant,0.303169846534729,-45.20066452026367,0.013269594870507717
810000,261.549,,49.223,2148.395,1572.9661128691982,1967.2265625,0.1179090482887951,150.7,1256.3239733503283,1289.59765625,sac,256,500000,0.0003,,,,,constant,0.32396969199180603,-44.75481414794922,0.019117074087262154
840000,304.538,,68.062,2228.036,1585.54378108047,1967.2265625,0.1136980108499095,150.7,1256.3321884182867,1289.59765625,sac,256,500000,0.0003,,,,,constant,0.3415309488773346,-44.56602478027344,0.023074662312865257
870000,368.967,,54.798,2308.3,1596.3445510198517,1971.421875,0.1097294938917975,150.7,1256.3380457160777,1289.59765625,sac,256,500000,0.0003,,,,,constant,0.3854632079601288,-44.97628402709961,0.036574751138687134
900000,425.641,,101.738,2388.869,1606.3100133062817,1971.421875,0.1060286677908937,150.7,1256.3442456919267,1289.59765625,sac,256,500000,0.0003,,,,,constant,0.4207497537136078,-45.638404846191406,0.05026201531291008
930000,492.061,,118.415,2468.72,1616.067606334149,1971.421875,0.1026111791105671,150.7,1256.4399495741534,1289.59765625,sac,256,500000,0.0003,,,,,constant,0.4071318507194519,-46.465301513671875,0.06317631155252457
960000,544.331,,96.196,2549.345,1626.225448192414,1971.421875,0.0993678387988937,150.7,1256.5222753481826,1289.59765625,sac,256,500000,0.0003,,,,,constant,0.427655428647995,-47.58510971069336,0.0860811099410057
990000,597.833,,100.399,2629.933,1634.4792928355994,1971.421875,0.0963232477977786,150.7,1256.6013515535235,1289.59765625,sac,256,500000,0.0003,,,,,constant,0.44132086634635925,-49.96132278442383,0.15058797597885132
1020000,636.552,,98.505,2710.276,1642.6277169493494,1971.421875,0.0934944237918215,150.7,1256.72507696329,1289.59765625,sac,256,500000,0.0003,,,,,constant,0.4334132671356201,-51.77393341064453,0.17855006456375122
1050000,725.991,,141.754,2791.364,1650.9639556455252,1971.421875,0.0907614579574161,150.7,1256.7946152675026,1289.59765625,sac,256,500000,0.0003,,,,,constant,0.41856858134269714,-53.93402099609375,0.22274763882160187
1080000,746.343,,166.357,2871.75,1658.8090376731848,1973.421875,0.0882146615222728,150.7,1256.8601820085055,1289.59765625,sac,256,500000,0.0003,,,,,constant,0.45553189516067505,-56.3323974609375,0.31537821888923645
1110000,813.134,,145.925,2951.459,1665.3366307593856,1973.421875,0.0858361774744027,150.7,1256.923657476536,1289.59765625,sac,256,500000,0.0003,,,,,constant,0.4394919276237488,-59.279964447021484,0.3305111825466156
1140000,785.614,,196.019,3031.72,1671.9604506792125,1973.421875,0.0835825855766035,150.7,1256.9858873899136,1289.59765625,sac,256,500000,0.0003,,,,,constant,0.4043457806110382,-61.79369354248047,0.3618506193161011
1170000,904.684,,117.024,3111.329,1678.8665208569462,1973.421875,0.0814443005181347,150.7,1257.045601167827,1289.59765625,sac,256,500000,0.0003,,,,,constant,0.41556912660598755,-64.22491455078125,0.3636445105075836
1200000,1015.214,,100.804,3192.463,1684.6376962369832,1975.16796875,0.0793625749447775,150.7,1257.1029023844274,1289.59765625,sac,256,500000,0.0003,,,,,constant,0.3680727779865265,-67.8539810180664,0.377308189868927
1230000,1017.918,,108.314,3272.089,1689.821303799661,1975.16796875,0.0774561133353865,150.7,1257.1572713755004,1289.59765625,sac,256,500000,0.0003,,,,,constant,0.37977665662765503,-71.1020278930664,0.36504361033439636
1260000,1035.827,,128.214,3352.981,1695.4514418381912,1975.16796875,0.0755709134615384,150.7,1257.2074831449067,1289.59765625,sac,256,500000,0.0003,,,,,constant,0.311362624168396,-74.30097198486328,0.3773552477359772
1290000,1126.662,,119.86,3433.583,1701.2484984778462,1975.16796875,0.0737969483568075,150.7,1257.2577402893926,1289.59765625,sac,256,500000,0.0003,,,,,constant,0.3233819901943207,-77.55828094482422,0.38121867179870605
1320000,1082.148,,124.861,3513.462,1705.4963570045884,1975.16796875,0.0721250358474333,150.7,1257.3065773318756,1289.59765625,sac,256,500000,0.0003,,,,,constant,0.3476039171218872,-81.7992172241211,0.4014003276824951
1350000,1155.464,,103.633,3594.116,1710.015793646622,1975.16796875,0.0705074292122231,150.7,1257.3532478711102,1289.59765625,sac,256,500000,0.0003,,,,,constant,0.29707562923431396,-85.29953002929688,0.36941829323768616
1380000,1175.627,,108.844,3674.128,1714.7643222024135,1975.16796875,0.0689797037849698,150.7,1257.4002342035792,1289.59765625,sac,256,500000,0.0003,,,,,constant,0.3013207018375397,-89.01031494140625,0.3650128245353699
1410000,1202.633,,84.061,3754.559,1719.2840355357623,1975.16796875,0.0674986580783682,150.7,1257.4442106565352,1289.59765625,sac,256,500000,0.0003,,,,,constant,0.2836042046546936,-93.17742156982422,0.3684774935245514
1440000,1233.302,,115.527,3835.082,1723.013185389845,1975.16796875,0.066079873883342,150.7,1257.4863876527197,1289.59765625,sac,256,500000,0.0003,,,,,constant,0.27584877610206604,-97.98761749267578,0.3345447778701782
1470000,1241.699,,95.475,3915.032,1726.988041948198,1975.16796875,0.0647361647361647,150.7,1257.5282748149937,1289.59765625,sac,256,500000,0.0003,,,,,constant,0.2574009895324707,-101.7181396484375,0.3391645848751068
1500000,1308.811,,83.865,3995.826,1731.3728582124843,1975.16796875,0.0634300126103404,150.7,1257.5676948691678,1289.59765625,sac,256,500000,0.0003,,,,,constant,0.25764450430870056,-105.60659790039062,0.31697285175323486
1530000,1219.086,,98.934,4076.546,1734.9008923053152,1975.16796875,0.0621755253399258,150.7,1257.6057256257725,1289.59765625,sac,256,500000,0.0003,,,,,constant,0.24575500190258026,-110.27029418945312,0.35730254650115967
1560000,1268.497,,155.969,4156.279,1738.2382405204291,1975.16796875,0.0609844810863239,150.7,1257.6425355010306,1289.59765625,sac,256,500000,0.0003,,,,,constant,0.2382158786058426,-114.70257568359375,0.31357795000076294
1590000,1317.407,,78.513,4237.116,1742.0168654480851,1975.16796875,0.0598239771646051,150.7,1257.6786997874049,1289.59765625,sac,256,500000,0.0003,,,,,constant,0.20952607691287994,-118.48236083984375,0.3089679777622223
1620000,1326.651,,92.538,4317.863,1745.8652817897992,1978.62109375,0.0587068160597572,150.7,1257.714067788574,1289.59765625,sac,256,500000,0.0003,,,,,constant,0.20540322363376617,-122.32975006103516,0.3159521222114563
1650000,1342.55,,91.81,4398.296,1748.6874686712306,1978.62109375,0.0576306141154903,150.7,1257.7490699831003,1289.59765625,sac,256,500000,0.0003,,,,,constant,0.21022005379199982,-127.62976837158203,0.3049609065055847
1680000,1350.228,,109.531,4478.357,1751.7084807113524,1978.62109375,0.0565931593159315,150.7,1257.7827275891652,1289.59765625,sac,256,500000,0.0003,,,,,constant,0.24307532608509064,-131.31581115722656,0.30142104625701904
1710000,1337.937,,102.005,4558.234,1755.0489909214018,1978.62109375,0.0556046871545434,150.7,1257.8150641512825,1289.59765625,sac,256,500000,0.0003,,,,,constant,0.22629112005233765,-135.13868713378906,0.30303481221199036
1740000,1396.438,,100.651,4639.919,1758.0858492615118,1978.62109375,0.0546264118158123,150.7,1257.847402564346,1289.59765625,sac,256,500000,0.0003,,,,,constant,0.22261710464954376,-139.1931915283203,0.311213880777359
1770000,1397.289,,91.748,4719.741,1760.6379966434445,1978.62109375,0.0537048900277599,150.7,1257.8798921965083,1289.59765625,sac,256,500000,0.0003,,,,,constant,0.21671169996261597,-143.63645935058594,0.30390340089797974
1800000,1365.91,,91.892,4800.505,1763.5461647727273,1978.62109375,0.052802855343271,150.7,1257.9114864909195,1289.59765625,sac,256,500000,0.0003,,,,,constant,0.24121852219104767,-147.4206085205078,0.311812162399292
