step,mean_reward,mean_group_reward,std_reward,time_elapsed,memory_usage_avg_mb,memory_usage_peak_mb,cpu_usage_avg_percent,cpu_usage_peak_percent,gpu_usage_avg_mb,gpu_usage_peak_mb,trainer_type,batch_size,buffer_size,learning_rate,beta,epsilon,lambd,num_epoch,learning_rate_schedule,policy_entropy,losses_policy_loss,losses_value_loss
30000,0.328,,0.501,26.469,657.1536907327586,816.7421875,5.0344827586206895,75.0,1216.254983836207,1224.83203125,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear,1.418938398361206,,
60000,0.438,,0.518,87.651,879.7424045138889,1055.4140625,1.6222222222222222,75.0,1222.7002604166669,1242.51953125,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear,1.4179673194885254,0.011148754507303238,0.004813128150999546
90000,0.638,,0.774,105.293,895.1121495327103,1055.4140625,1.3644859813084111,75.0,1222.9744085864486,1242.51953125,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear,1.4169808626174927,,
120000,0.577,,0.701,163.502,935.2274147727272,1060.3984375,0.8848484848484849,75.0,1223.3129971590909,1242.51953125,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear,1.4129008054733276,0.0119125135242939,0.0015554878627881408
150000,0.707,,0.723,223.725,957.1368055555556,1060.3984375,0.6488888888888888,75.0,1223.4950173611112,1242.51953125,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear,1.4106887578964233,0.012646499089896679,0.0014108719769865274
180000,0.525,,0.655,241.387,959.0003712551652,1060.3984375,0.6033057851239669,75.0,1223.5430978822317,1242.51953125,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear,1.408441185951233,,
210000,1.213,,1.065,299.367,969.3446614583332,1060.3984375,0.4866666666666667,75.0,1224.2989583333333,1242.51953125,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear,1.4017831087112427,0.011895832605659962,0.0015114166308194399
240000,1.167,,0.941,358.716,979.1447162256268,1061.1875,0.4066852367688022,75.0,1224.2741882834262,1242.51953125,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear,1.39781653881073,0.012912199832499027,0.0021177814342081547
270000,1.387,,1.221,376.327,979.3574634308512,1061.1875,0.3882978723404255,75.0,1224.2700714760638,1242.51953125,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear,1.393785834312439,,
300000,2.17,,1.158,433.737,985.5483996102772,1062.45703125,0.3371824480369515,75.0,1224.2335540560046,1242.51953125,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear,1.385124921798706,0.013299130834639072,0.0030961951706558466
330000,2.501,,1.569,493.675,989.9346576473578,1062.45703125,0.2967479674796748,75.0,1224.2201473577236,1242.51953125,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear,1.3816910982131958,0.012518228963017464,0.004647858440876007
360000,2.602,,1.432,511.33,988.8977328431372,1062.45703125,0.2862745098039215,75.0,1224.212576593137,1242.51953125,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear,1.3782020807266235,,
390000,3.615,,1.693,568.764,991.3313147597,1062.7265625,0.2574955908289241,75.0,1224.1904693011463,1242.51953125,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear,1.3729151487350464,0.01240209024399519,0.005913669243454933
420000,3.729,,1.512,627.611,991.39835625,1062.7265625,0.2336,75.0,1224.25080625,1242.51953125,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear,1.3700259923934937,0.011976098641753197,0.006850466597825289
450000,4.279,,1.648,645.413,990.2763899688958,1062.7265625,0.2270606531881804,75.0,1224.2368475408243,1242.51953125,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear,1.3670902252197266,,
480000,4.815,,1.976,702.644,990.6876283482144,1062.7265625,0.2085714285714285,75.0,1224.222053571429,1242.51953125,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear,1.3610302209854126,0.012099462561309338,0.008109436370432377
510000,5.534,,2.031,762.033,991.2827888257576,1062.7265625,0.1923583662714097,75.0,1224.2238090826745,1242.51953125,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear,1.3580951690673828,0.014413747936487198,0.009826691821217537
540000,5.467,,1.995,779.772,990.6411837548324,1062.7265625,0.1881443298969072,75.0,1224.2242066688143,1242.51953125,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear,1.3551127910614014,,
570000,6.16,,2.11,836.981,991.557576155462,1062.7265625,0.1752701080432173,75.0,1224.406156212485,1242.51953125,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear,1.3504693508148193,0.013245031237602234,0.011128687299787998
600000,6.877,,2.135,895.908,992.56592891676,1062.7265625,0.163677130044843,75.0,1224.3935853419282,1242.51953125,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear,1.3477650880813599,0.013719783164560795,0.0126784797757864
630000,8.071,,2.389,913.462,991.796380809956,1062.7265625,0.1606160616061606,75.0,1224.392137651265,1242.51953125,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear,1.3450171947479248,,
660000,9.019,,3.478,970.991,992.4550983436852,1062.7265625,0.1511387163561076,75.0,1224.3766336697722,1242.51953125,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear,1.3408229351043701,0.013682019896805286,0.017732368782162666
690000,9.654,,3.478,1030.785,993.081836890244,1062.7265625,0.1424390243902439,75.0,1224.589588414634,1242.51953125,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear,1.3370298147201538,0.014067137613892555,0.018462898209691048
720000,11.31,,2.456,1048.512,992.237648310163,1062.7265625,0.1399808245445829,75.0,1224.5940346356665,1242.51953125,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear,1.333175778388977,,
750000,11.24,,3.499,1106.074,993.1094424715908,1062.7265625,0.1327272727272727,75.0,1224.5763778409091,1242.51953125,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear,1.3268439769744873,0.01259206235408783,0.02527768723666668
780000,13.958,,3.477,1164.881,994.3441510731234,1062.7265625,0.1259706643658326,75.0,1224.6642175366696,1242.51953125,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear,1.324250340461731,0.013035575859248638,0.0256790854036808
810000,14.58,,3.744,1182.503,993.9898889243198,1062.7265625,0.1241496598639455,75.0,1224.666945684524,1242.51953125,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear,1.3216149806976318,,
840000,16.056,,3.3,1240.054,994.9619069343066,1062.7265625,0.1184103811841038,75.0,1224.6499011557178,1242.51953125,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear,1.3175125122070312,0.012504816986620426,0.03234729915857315
870000,16.031,,5.275,1299.064,996.015470805921,1062.7265625,0.1130030959752322,75.0,1224.6248669698143,1242.51953125,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear,1.314805030822754,0.013252298347651958,0.03533453494310379
900000,18.148,,4.014,1316.679,995.7075743649732,1062.7265625,0.1115355233002291,75.0,1224.6242957410236,1242.51953125,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear,1.312053918838501,,
930000,21.568,,3.763,1373.921,996.4576775256222,1062.7265625,0.1068814055636896,75.0,1224.7077804721816,1242.51953125,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear,1.3059027194976807,0.013117533177137375,0.047158725559711456
960000,21.654,,4.1,1433.145,997.1215158991228,1062.7265625,0.1024561403508771,75.0,1224.6925109649123,1242.51953125,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear,1.3031760454177856,0.013945645652711391,0.04946145787835121
990000,22.522,,6.918,1450.776,996.5254773101595,1062.7265625,0.1012482662968099,75.0,1224.6911949549235,1242.51953125,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear,1.3004052639007568,,
1020000,25.679,,5.585,1508.821,996.9633072916666,1062.7265625,0.0973333333333333,75.0,1224.6618854166666,1242.51953125,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear,1.2941343784332275,0.01314108818769455,0.05863942205905914
1050000,28.252,,4.458,1568.434,997.652501603592,1062.7265625,0.0936497754971135,75.0,1224.7809994387428,1242.51953125,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear,1.291007161140442,0.013575226068496704,0.06493808329105377
