step,mean_reward,mean_group_reward,std_reward,time_elapsed,memory_usage_avg_mb,memory_usage_peak_mb,cpu_usage_avg_percent,cpu_usage_peak_percent,gpu_usage_avg_mb,gpu_usage_peak_mb,trainer_type,batch_size,buffer_size,learning_rate,beta,epsilon,lambd,num_epoch,learning_rate_schedule
30000,0.259,,0.366,26.479,657.297817887931,816.84375,7.5,160.2,1234.0631734913793,1243.83203125,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear
60000,0.357,,0.586,95.027,890.0005235180413,1054.43359375,2.2422680412371134,160.2,1234.7606717139174,1243.83203125,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear
90000,0.241,,0.467,114.083,903.4405980603449,1054.43359375,1.875,160.2,1233.5959051724137,1243.83203125,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear
120000,0.361,,0.622,178.873,940.4759331597222,1059.265625,1.2083333333333333,160.2,1230.2298611111112,1243.83203125,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear
150000,0.458,,0.522,246.532,960.8938986589069,1059.265625,0.8805668016194332,160.2,1228.5537544281376,1243.83203125,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear
180000,0.79,,0.711,265.947,962.2437382958801,1059.265625,0.8146067415730337,160.2,1228.2164530664793,1243.83203125,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear
210000,0.76,,0.493,332.451,972.4125140765766,1059.265625,0.6531531531531531,160.2,1227.3908244181682,1243.83203125,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear
240000,1.045,,0.851,402.575,982.2971470771145,1059.375,0.5410447761194029,160.2,1226.8175334266168,1243.83203125,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear
270000,1.138,,0.886,421.456,982.5553926662708,1059.375,0.5166270783847982,160.2,1226.6926681264845,1243.83203125,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear
300000,1.905,,0.838,486.345,987.5380557345361,1059.375,0.4484536082474227,160.2,1226.3440480025772,1243.83203125,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear
330000,1.986,,1.246,552.864,991.4287020757713,1069.57421875,0.39473684210526316,160.2,1226.0693554333031,1243.83203125,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear
360000,2.308,,1.028,572.126,989.6507497810858,1069.57421875,0.3809106830122592,160.2,1225.9986523095447,1243.83203125,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear
390000,2.905,,1.288,636.026,988.5926964215299,1069.57421875,0.3430599369085173,160.2,1225.8050941443219,1243.83203125,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear
420000,2.932,,1.472,702.143,988.6455483279685,1069.57421875,0.3111587982832618,160.2,1225.6419606133763,1243.83203125,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear
450000,3.571,,1.289,721.363,987.6557930013928,1069.57421875,0.30292479108635095,160.2,1225.5998541956824,1243.83203125,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear
480000,4.238,,1.706,786.691,988.1452596184547,1069.57421875,0.2777777777777778,160.2,1225.4712593789911,1243.83203125,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear
510000,4.909,,1.457,854.495,988.7169001542303,1069.57421875,0.25558166862514686,160.2,1225.357754663631,1243.83203125,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear
540000,5.443,,1.793,873.583,988.1592617232451,1069.57421875,0.25028768699654774,160.2,1225.3306827172037,1243.83203125,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear
570000,6.283,,2.005,938.894,989.2757503011242,1069.57421875,0.2328693790149893,160.2,1225.241610345289,1243.83203125,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear
600000,7.24,,2.131,1007.549,990.3270607223054,1069.57421875,0.21706586826347304,160.2,1225.1607955963075,1243.83203125,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear
630000,8.049,,1.894,1026.693,989.4058291503428,1069.57421875,0.21302644466209597,160.2,1225.1401391099412,1243.83203125,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear
660000,8.807,,2.033,1091.182,989.7742331509216,1069.57421875,0.20046082949308755,160.2,1225.0758820564515,1243.83203125,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear
690000,9.038,,2.23,1158.403,990.2327677408854,1069.57421875,0.18880208333333334,160.2,1225.0162624782986,1243.83203125,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear
720000,10.576,,1.923,1177.649,989.4602369769428,1069.57421875,0.18573868488471393,160.2,1225.0005971125106,1243.83203125,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear
750000,11.926,,2.744,1242.273,990.1567023026316,1069.57421875,0.17611336032388664,160.2,1224.9513758856276,1243.83203125,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear
780000,13.319,,3.22,1309.236,991.3192414314516,1069.57421875,0.16705069124423963,160.2,1224.905031922043,1243.83203125,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear
810000,13.67,,2.456,1328.445,990.964820093679,1069.57421875,0.16464799394398183,160.2,1224.8927451977668,1243.83203125,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear
840000,15.739,,2.381,1392.889,992.0943789485559,1069.57421875,0.15703971119133575,160.2,1224.8538385604693,1243.83203125,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear
870000,15.883,,4.81,1460.851,993.2627114540289,1069.57421875,0.14979338842975207,160.2,1224.816782885675,1243.83203125,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear
900000,17.842,,3.509,1480.071,992.9008964989803,1069.57421875,0.1478585995921142,160.2,1224.8068889148537,1243.83203125,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear
930000,19.297,,3.88,1544.354,993.397925997557,1069.57421875,0.14169381107491857,160.2,1224.7753639047232,1243.83203125,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear
960000,20.804,,3.573,1610.079,993.9050463867187,1069.57421875,0.1359375,160.2,1225.066962890625,1254.01953125,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear
