step,mean_reward,mean_group_reward,std_reward,time_elapsed,memory_usage_avg_mb,memory_usage_peak_mb,cpu_usage_avg_percent,cpu_usage_peak_percent,gpu_usage_avg_mb,gpu_usage_peak_mb,trainer_type,batch_size,buffer_size,learning_rate,beta,epsilon,lambd,num_epoch,learning_rate_schedule,policy_entropy,losses_policy_loss,losses_value_loss
30000,0.292,,0.442,29.525,621.3483664772727,811.3203125,4.303030303030303,71.0,989.66796875,1008.0546875,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.418938398361206,,
60000,0.285,,0.475,53.546,725.2776227678571,921.015625,2.5357142857142856,71.0,993.21875,1017.01953125,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.4161746501922607,0.014028728939592838,0.01351897232234478
90000,0.425,,0.575,77.07,772.48330078125,921.2578125,1.775,71.0,1001.15068359375,1027.64453125,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.4141085147857666,0.0177125446498394,0.0020759422332048416
120000,0.446,,0.681,100.741,797.0288607402913,922.5859375,1.3786407766990292,71.0,1003.123520934466,1027.64453125,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.4131349325180054,0.019723104313015938,0.0015482221497222781
150000,0.497,,0.685,124.542,813.8216350885826,922.5859375,1.1181102362204725,71.0,1003.6904835137796,1027.64453125,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.4116038084030151,0.017282212153077126,0.0014996759127825499
180000,0.821,,1.015,147.35,824.0372273489933,923.7734375,0.953020134228188,71.0,1003.7454645553692,1027.64453125,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.4120885133743286,0.019917385652661324,0.0013706703903153539
210000,0.854,,1.033,170.275,832.2684865552326,924.0625,0.8255813953488372,71.0,1002.5299781976744,1027.64453125,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.4117664098739624,0.015657950192689896,0.002310209907591343
240000,1.138,,1.321,193.1,839.8993790064103,924.0625,0.7282051282051282,71.0,1001.4884014423076,1027.64453125,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.4109675884246826,0.016121068969368935,0.0020957859233021736
270000,1.411,,1.406,216.067,844.4210829493088,925.05078125,0.6543778801843319,71.0,1000.698714717742,1027.64453125,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.4100497961044312,0.016404520720243454,0.0035827169194817543
300000,1.922,,2.028,238.954,848.5861165364583,925.05078125,0.5916666666666667,71.0,1000.0279296875,1027.64453125,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.409549355506897,0.01825757697224617,0.00461199227720499
330000,2.376,,2.103,261.667,853.2535646387832,925.05078125,0.5399239543726235,71.0,999.4744682747148,1027.64453125,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.4077566862106323,0.01832401193678379,0.005565611179918051
360000,3.994,,2.912,284.673,855.9694764254386,925.30078125,0.4982456140350877,71.0,998.9741639254386,1027.64453125,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.4056893587112427,0.014635339379310608,0.006680697202682495
390000,5.88,,3.737,308.465,858.5770251820388,925.5,0.459546925566343,71.0,1000.1742642597088,1027.64453125,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.4022986888885498,0.015604575164616108,0.014384927228093147
420000,9.091,,5.246,331.225,860.6113104229607,925.8515625,0.4290030211480362,71.0,999.8207491503022,1027.64453125,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.399063229560852,0.01640504039824009,0.022402577102184296
450000,13.826,,6.917,354.747,862.7065580985916,926.1796875,0.4,71.0,999.4877090669014,1027.64453125,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.3949929475784302,0.02206222526729107,0.03530460223555565
480000,19.463,,8.171,381.065,864.6578186515748,927.22265625,0.3727034120734908,71.0,999.1771756069554,1027.64453125,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.3903181552886963,0.016484202817082405,0.06126904487609863
510000,21.774,,10.992,406.312,866.4655076200739,927.73046875,0.3497536945812808,71.0,998.8492533866996,1027.64453125,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.3844646215438843,0.017236707732081413,0.09332294762134552
540000,35.843,,8.166,430.72,869.1983557412791,936.77734375,0.3302325581395349,71.0,998.6285247093024,1027.64453125,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.3788522481918335,0.017884299159049988,0.1276785284280777
570000,40.84,,15.436,457.331,871.1687739857456,938.9609375,0.3114035087719298,71.0,998.4180544133771,1027.64453125,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.3716806173324585,0.016754521057009697,0.2012275755405426
600000,49.981,,13.955,483.214,872.8549662863071,938.9609375,0.2946058091286307,71.0,998.208117219917,1027.64453125,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.363865613937378,0.016864046454429626,0.23990240693092346
630000,59.458,,15.678,510.641,874.4075776645383,939.92578125,0.2789783889980353,71.0,998.0356167116896,1027.64453125,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.3554648160934448,0.017192864790558815,0.3022652864456177
660000,67.299,,16.73,535.244,875.78125,939.92578125,0.2659176029962546,71.0,997.8646711142322,1027.64453125,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.348760724067688,0.02133862115442753,0.3860169053077698
690000,76.649,,22.376,559.891,877.0340291778674,939.92578125,0.2544802867383512,71.0,997.7369231630825,1027.64453125,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.3408278226852417,0.019746124744415283,0.4351426959037781
720000,95.052,,15.893,584.247,878.0605602985395,939.92578125,0.2439862542955326,71.0,997.6197111254296,1027.64453125,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.3322833776474,0.01806744746863842,0.48598793148994446
750000,102.588,,21.614,608.719,879.0638923267327,939.92578125,0.2343234323432343,71.0,997.4898153877888,1027.64453125,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.3235435485839844,0.01803559996187687,0.6380384564399719
780000,109.512,,20.962,632.411,879.940804811508,939.92578125,0.2253968253968254,71.0,997.3909474206348,1027.64453125,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.3156968355178833,0.01711137592792511,0.6469039916992188
810000,120.481,,26.417,656.713,880.8087550172019,940.234375,0.2171253822629969,71.0,997.2993358180428,1027.64453125,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.3085143566131592,0.014214903116226196,0.7114441990852356
840000,135.134,,28.984,680.84,880.6320462297198,941.71875,0.2094395280235988,71.0,997.2152240044248,1027.64453125,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.3003575801849365,0.016893155872821808,0.7782275676727295
870000,148.063,,40.602,706.185,880.2638969150071,941.71875,0.2019914651493599,71.0,997.135707459104,1027.64453125,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.2927963733673096,0.01683110184967518,0.9165737628936768
900000,159.209,,21.848,730.88,879.9778717376373,941.71875,0.195054945054945,71.0,997.0616522149726,1027.64453125,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.2858426570892334,0.017850646749138832,0.9514890313148499
930000,160.966,,36.852,754.161,879.7914863515313,941.71875,0.1890812250332889,71.0,996.9964578478696,1027.64453125,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.2802141904830933,0.013689196668565273,1.4621925354003906
960000,164.673,,34.393,777.305,879.9121396560078,941.71875,0.1834625322997416,71.0,996.9365108204134,1027.64453125,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.27523672580719,0.016734667122364044,1.5655416250228882
990000,168.97,,39.349,800.376,879.8837252669598,941.71875,0.1783919597989949,71.0,996.8825278737436,1027.64453125,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,1.270216703414917,0.017390446737408638,1.6704847812652588
