step,mean_reward,mean_group_reward,std_reward,time_elapsed,memory_usage_avg_mb,memory_usage_peak_mb,cpu_usage_avg_mb,cpu_usage_peak_mb,gpu_usage_avg_mb,gpu_usage_peak_mb,trainer_type,batch_size,buffer_size,learning_rate,beta,epsilon,lambd,num_epoch,learning_rate_schedule,gamma,time_horizon,hidden_units,num_layers,tau,init_entcoef,steps_per_update
30000,0.406,,0.477,28.277,459.51354166666664,554.91015625,6.260000000000001,100.3,1377.2225260416667,1392.1015625,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,0.99,1000,512,3,,,
60000,0.438,,0.635,52.642,534.1931423611111,673.8671875,3.477777777777778,100.3,1375.0159866898148,1392.1015625,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,0.99,1000,512,3,,,
90000,0.344,,0.52,77.08,565.5541930379746,674.45703125,2.377215189873418,100.3,1374.143146756329,1392.1015625,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,0.99,1000,512,3,,,
120000,0.309,,0.612,101.489,581.7391535194175,675.06640625,1.8233009708737866,100.3,1372.8154960558252,1392.1015625,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,0.99,1000,512,3,,,
150000,0.555,,0.889,125.868,591.7831569881889,675.06640625,1.478740157480315,100.3,1371.9896345964567,1392.1015625,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,0.99,1000,512,3,,,
180000,0.815,,1.052,150.022,599.0547651076159,675.86328125,1.2437086092715233,100.3,1371.426298634106,1392.1015625,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,0.99,1000,512,3,,,
210000,0.697,,1.052,174.397,604.3378348214286,675.86328125,1.0731428571428572,100.3,1371.0174776785714,1392.1015625,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,0.99,1000,512,3,,,
240000,0.727,,1.03,198.703,608.3381556218593,675.86328125,0.9437185929648242,100.3,1370.7072668027638,1392.1015625,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,0.99,1000,512,3,,,
270000,1.533,,1.754,222.982,611.3463249719731,676.0234375,0.842152466367713,100.3,1370.4638277746637,1392.1015625,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,0.99,1000,512,3,,,
300000,1.583,,1.674,247.495,614.0203219888664,676.70703125,0.7603238866396762,100.3,1369.8790327682186,1392.1015625,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,0.99,1000,512,3,,,
330000,2.194,,2.461,271.705,616.3527732933579,676.70703125,0.6929889298892989,100.3,1369.3978176891144,1392.1015625,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,0.99,1000,512,3,,,
360000,3.505,,3.255,296.137,618.1713207347973,676.70703125,0.6344594594594595,100.3,1368.9795317778717,1392.1015625,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,0.99,1000,512,3,,,
390000,5.926,,3.911,320.392,619.6472778320312,677.8515625,0.586875,100.3,1368.6394653320312,1392.1015625,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,0.99,1000,512,3,,,
420000,5.557,,5.168,344.557,621.0708462027616,677.8515625,0.5459302325581395,100.3,1368.3468500181687,1392.1015625,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,0.99,1000,512,3,,,
450000,11.702,,7.71,368.569,622.221943119891,677.8515625,0.511716621253406,100.3,1368.1023394925069,1392.1015625,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,0.99,1000,512,3,,,
480000,14.618,,6.098,392.536,623.3091931745524,677.8515625,0.48030690537084403,100.3,1367.8778672474425,1392.1015625,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,0.99,1000,512,3,,,
510000,17.774,,9.767,416.775,624.3482115963856,677.8515625,0.45253012048192776,100.3,1367.679358057229,1392.1015625,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,0.99,1000,512,3,,,
540000,27.358,,12.024,441.0,625.8251708428246,687.30859375,0.42779043280182233,100.3,1367.5025537443053,1392.1015625,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,0.99,1000,512,3,,,
570000,29.366,,14.295,465.113,627.1469188714902,688.125,0.4056155507559395,100.3,1367.3440790361772,1392.1015625,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,0.99,1000,512,3,,,
600000,45.378,,15.022,489.345,628.2653522843942,689.4453125,0.3856262833675565,100.3,1367.201224011807,1392.1015625,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,0.99,1000,512,3,,,
630000,49.176,,20.307,513.4,629.3778971991194,689.80859375,0.3675146771037182,100.3,1367.0717878546966,1392.1015625,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,0.99,1000,512,3,,,
660000,59.963,,17.356,537.344,630.5456118574766,689.80859375,0.3510280373831776,100.3,1366.953964661215,1392.1015625,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,0.99,1000,512,3,,,
690000,67.448,,20.955,561.474,631.5244437611807,689.80859375,0.33595706618962434,100.3,1366.8462586650269,1392.1015625,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,0.99,1000,512,3,,,
720000,76.688,,22.982,585.565,632.3850408075601,690.51171875,0.32268041237113404,100.3,1366.7513759128008,1392.1015625,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,0.99,1000,512,3,,,
750000,85.365,,27.081,609.842,633.3128410728995,690.51171875,0.3093904448105437,100.3,1366.6563980127678,1392.1015625,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,0.99,1000,512,3,,,
780000,95.587,,38.623,633.854,634.0843563988095,690.59375,0.29809523809523814,100.3,1366.575675843254,1392.1015625,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,0.99,1000,512,3,,,
810000,121.271,,30.13,658.486,634.7852397423665,691.35546875,0.2867175572519084,100.3,1366.7953184637404,1392.1015625,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,0.99,1000,512,3,,,
840000,124.399,,28.506,682.591,635.4101504970545,691.35546875,0.2765832106038292,100.3,1367.0082784885863,1392.1015625,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,0.99,1000,512,3,,,
870000,131.573,,27.867,706.893,635.9541585170697,691.35546875,0.2671408250355619,100.3,1367.2066978573969,1392.1015625,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,0.99,1000,512,3,,,
900000,145.558,,39.384,731.038,636.4941218191196,691.35546875,0.2583218707015131,100.3,1367.3920166351445,1392.1015625,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,0.99,1000,512,3,,,
930000,146.664,,49.198,755.109,636.966859375,691.35546875,0.2504,100.3,1367.558484375,1392.1015625,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,0.99,1000,512,3,,,
960000,164.841,,30.227,779.404,637.39958313146,691.35546875,0.24263565891472869,100.3,1367.7216418362402,1392.1015625,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,0.99,1000,512,3,,,
990000,161.255,,49.192,803.666,637.8473189142678,691.35546875,0.23504380475594494,100.3,1367.8811747105758,1392.1015625,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,0.99,1000,512,3,,,
1020000,168.412,,40.049,827.867,638.2406591737546,691.35546875,0.2281895504252734,100.3,1368.0252078903402,1392.1015625,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,0.99,1000,512,3,,,
1050000,174.328,,57.603,852.271,638.6820303276269,691.35546875,0.22172373081463992,100.3,1368.1610786230815,1392.1015625,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,0.99,1000,512,3,,,
1080000,179.647,,46.001,876.294,639.0340292744253,691.35546875,0.21586206896551727,100.3,1368.2842537715517,1392.1015625,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,0.99,1000,512,3,,,
1110000,200.926,,62.8,900.675,639.350405900838,691.35546875,0.2098324022346369,100.3,1368.4109593226258,1392.1015625,ppo,2048,20480,0.0003,0.005,0.2,0.95,3,linear,0.99,1000,512,3,,,
