step,mean_reward,mean_group_reward,std_reward,time_elapsed,memory_usage_avg_mb,memory_usage_peak_mb,cpu_usage_avg_mb,cpu_usage_peak_mb,gpu_usage_avg_mb,gpu_usage_peak_mb,trainer_type,batch_size,buffer_size,learning_rate,beta,epsilon,lambd,num_epoch,learning_rate_schedule,gamma,time_horizon,hidden_units,num_layers,tau,init_entcoef,steps_per_update
30000,0.529,,0.764,27.942,461.11744791666666,557.06640625,4.3,71.7,1385.7924479166666,1392.6640625,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,0.995,1000,512,3,,,
60000,0.61,,0.822,52.28,513.7073929398148,649.0625,2.388888888888889,71.7,1383.8135127314815,1392.6640625,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,0.995,1000,512,3,,,
90000,0.423,,0.465,76.877,546.5453225160256,671.5390625,1.6538461538461537,71.7,1379.03515625,1392.6640625,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,0.995,1000,512,3,,,
120000,0.381,,0.501,101.1,565.030637254902,681.78125,1.2647058823529411,71.7,1376.502987132353,1392.6640625,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,0.995,1000,512,3,,,
150000,0.649,,0.854,125.424,574.8899739583334,683.51171875,1.0238095238095237,71.7,1374.9324776785713,1392.6640625,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,0.995,1000,512,3,,,
180000,0.658,,0.888,149.297,579.94015625,683.5625,0.86,71.7,1373.86453125,1392.6640625,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,0.995,1000,512,3,,,
210000,0.49,,0.842,173.681,583.3458827227012,683.5625,0.7413793103448276,71.7,1373.0911907327586,1392.6640625,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,0.995,1000,512,3,,,
240000,1.125,,1.04,198.075,588.9422545770202,683.5625,0.6515151515151515,71.7,1372.5053267045455,1392.6640625,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,0.995,1000,512,3,,,
270000,1.039,,1.221,222.377,590.8810082679372,683.5625,0.57847533632287,71.7,1372.0291479820628,1392.6640625,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,0.995,1000,512,3,,,
300000,1.741,,1.705,246.519,592.3980881605692,683.5625,0.524390243902439,71.7,1371.676543445122,1392.6640625,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,0.995,1000,512,3,,,
330000,2.202,,1.834,271.02,594.3153107702952,683.5625,0.47601476014760147,71.7,1371.3611623616237,1392.6640625,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,0.995,1000,512,3,,,
360000,3.328,,2.257,296.063,595.6802285684122,683.5625,0.4358108108108108,71.7,1371.0990551097973,1392.6640625,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,0.995,1000,512,3,,,
390000,4.704,,2.667,320.282,596.1083463949843,683.5625,0.4043887147335423,71.7,1370.8942006269592,1392.6640625,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,0.995,1000,512,3,,,
420000,6.447,,2.764,344.335,596.6927728680758,683.5625,0.3760932944606414,71.7,1370.7097303206997,1392.6640625,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,0.995,1000,512,3,,,
450000,8.305,,3.517,368.314,597.3027822717984,683.5625,0.35149863760217986,71.7,1370.5493869209809,1392.6640625,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,0.995,1000,512,3,,,
480000,12.299,,3.514,392.453,597.678868286445,683.5625,0.329923273657289,71.7,1370.4087276214834,1392.6640625,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,0.995,1000,512,3,,,
510000,14.096,,5.038,417.04,598.3000094126506,683.5625,0.3108433734939759,71.7,1370.2843373493977,1392.6640625,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,0.995,1000,512,3,,,
540000,19.111,,3.512,441.554,599.3976473721591,683.5625,0.29318181818181815,71.7,1370.1691938920455,1392.6640625,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,0.995,1000,512,3,,,
570000,24.663,,5.682,465.737,600.319790544181,683.5625,0.27801724137931033,71.7,1370.0703293372844,1392.6640625,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,0.995,1000,512,3,,,
600000,30.663,,8.637,489.656,601.1677521817248,683.5625,0.2648870636550308,71.7,1369.984727926078,1392.6640625,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,0.995,1000,512,3,,,
630000,38.645,,8.769,513.874,601.876819349315,683.5625,0.25244618395303325,71.7,1369.9036203522505,1392.6640625,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,0.995,1000,512,3,,,
660000,43.992,,8.806,537.996,602.5665668808412,683.5625,0.2411214953271028,71.7,1369.8297897196262,1392.6640625,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,0.995,1000,512,3,,,
690000,54.241,,10.087,562.228,603.3493123881932,683.5625,0.23076923076923078,71.7,1369.762298747764,1392.6640625,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,0.995,1000,512,3,,,
720000,63.069,,12.608,586.393,603.9075967517152,683.5625,0.22126929674099485,71.7,1369.7003644939966,1392.6640625,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,0.995,1000,512,3,,,
750000,70.919,,18.25,610.535,604.5159274608732,683.5625,0.21252059308072488,71.7,1369.6433278418451,1392.6640625,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,0.995,1000,512,3,,,
780000,82.822,,14.078,634.715,605.7919720681458,683.5625,0.20443740095087162,71.7,1369.5906299524563,1392.6640625,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,0.995,1000,512,3,,,
810000,86.031,,28.755,658.779,606.939271230916,683.625,0.1969465648854962,71.7,1369.5417938931298,1392.6640625,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,0.995,1000,512,3,,,
840000,109.568,,8.33,682.591,607.5218703908555,683.73046875,0.1902654867256637,71.7,1369.4982370022124,1392.6640625,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,0.995,1000,512,3,,,
870000,116.191,,24.467,706.585,607.9396534455128,683.96484375,0.18376068376068377,71.7,1369.455829326923,1392.6640625,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,0.995,1000,512,3,,,
900000,115.666,,27.842,730.349,608.424909607438,683.96484375,0.17768595041322313,71.7,1369.416225464876,1392.6640625,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,0.995,1000,512,3,,,
930000,140.155,,20.26,754.201,608.92282939753,684.05078125,0.17222963951935916,71.7,1369.3806533711615,1392.6640625,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,0.995,1000,512,3,,,
960000,151.927,,16.887,778.326,609.6293509459897,684.26953125,0.16688227684346701,71.7,1369.3457915588615,1392.6640625,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,0.995,1000,512,3,,,
990000,157.56,,21.508,803.716,610.0296003681078,684.26953125,0.16165413533834586,71.7,1369.7150591322056,1392.6640625,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,0.995,1000,512,3,,,
1020000,162.645,,28.35,828.92,610.244010100243,684.26953125,0.15674362089914945,71.7,1370.0799665856623,1392.6640625,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,0.995,1000,512,3,,,
1050000,171.082,,26.948,853.561,610.617837006191,684.26953125,0.15212264150943397,71.7,1370.6391233048348,1396.7265625,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,0.995,1000,512,3,,,
1080000,170.472,,28.069,878.824,610.9039769473081,684.26953125,0.14776632302405499,71.7,1371.5827337485682,1419.140625,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,0.995,1000,512,3,,,
1110000,171.791,,26.826,903.52,611.179256375418,685.0,0.14381270903010032,71.7,1372.159672867893,1419.140625,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,0.995,1000,512,3,,,
1140000,169.221,,29.977,927.774,611.3399794720413,685.0,0.14006514657980457,71.7,1372.278611902823,1419.140625,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,0.995,1000,512,3,,,
1170000,176.804,,32.048,952.28,611.531502149471,685.0,0.1365079365079365,71.7,1372.3449487433863,1419.140625,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,0.995,1000,512,3,,,
1200000,190.237,,25.526,976.578,611.7285196520619,685.0,0.13298969072164948,71.7,1372.4105589561855,1419.140625,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,0.995,1000,512,3,,,
1230000,198.131,,25.427,1000.779,611.9478079413984,685.0,0.12977867203219315,71.7,1372.4704398264587,1419.140625,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,0.995,1000,512,3,,,
1260000,204.366,,24.268,1025.186,612.1630533214636,685.0,0.12671905697445973,71.7,1372.52749723723,1419.140625,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,0.995,1000,512,3,,,
1290000,206.73,,26.004,1049.612,612.4125179942419,685.0,0.1238003838771593,71.7,1372.5819262835892,1419.140625,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,0.995,1000,512,3,,,
1320000,212.954,,22.796,1074.007,612.6418782246717,685.0,0.12101313320825516,71.7,1372.6339044910883,1419.140625,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,0.995,1000,512,3,,,
1350000,224.262,,26.24,1098.1,612.7687105791284,685.0,0.11834862385321102,71.7,1372.68359375,1419.140625,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,0.995,1000,512,3,,,
1380000,235.359,,17.486,1122.284,612.8812275583483,685.0,0.11579892280071813,71.7,1372.7311419995513,1419.140625,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,0.995,1000,512,3,,,
1410000,245.892,,15.15,1146.825,613.0105413829086,685.0,0.11335676625659051,71.7,1372.7766846990335,1419.140625,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,0.995,1000,512,3,,,
1440000,253.576,,16.991,1171.092,613.1090052172977,685.0,0.11101549053356283,71.7,1372.8203461166092,1419.140625,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,0.995,1000,512,3,,,
1470000,263.646,,23.69,1195.734,613.283431839722,685.0,0.10867733782645324,71.7,1372.8639492944399,1419.140625,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,0.995,1000,512,3,,,
1500000,270.376,,17.039,1219.714,613.4394918646694,685.0,0.10661157024793388,71.7,1372.9024728822315,1419.140625,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,0.995,1000,512,3,,,
1530000,270.319,,21.701,1243.967,613.5398785425101,685.0,0.10445344129554655,71.7,1372.9427188765183,1419.140625,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,0.995,1000,512,3,,,
1560000,277.321,,25.073,1267.934,613.6248105872417,685.0,0.10254372019077901,71.7,1372.9783324224961,1419.140625,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,0.995,1000,512,3,,,
1590000,282.412,,24.084,1292.014,613.7677548508191,685.0,0.10062402496099844,71.7,1373.014131971529,1419.140625,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,0.995,1000,512,3,,,
1620000,290.426,,18.449,1316.126,614.0861169601837,685.0,0.09877488514548238,71.7,1373.0486157637824,1419.140625,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,0.995,1000,512,3,,,
1650000,286.484,,23.821,1340.034,614.1730791823309,685.0,0.09699248120300752,71.7,1373.0818550281954,1419.140625,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,0.995,1000,512,3,,,
1680000,296.648,,20.48,1364.208,614.2796373015141,685.0,0.09527326440177253,71.7,1373.1139159435008,1419.140625,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,0.995,1000,512,3,,,
1710000,306.363,,21.679,1388.157,614.3891697303922,685.0,0.09368191721132897,71.7,1373.1435922748728,1419.140625,ppo,2024,20240,0.0003,0.005,0.2,0.95,3,linear,0.995,1000,512,3,,,
