step,mean_reward,mean_group_reward,std_reward,time_elapsed,memory_usage_avg_mb,memory_usage_peak_mb,cpu_usage_avg_mb,cpu_usage_peak_mb,gpu_usage_avg_mb,gpu_usage_peak_mb,trainer_type,batch_size,buffer_size,learning_rate,beta,epsilon,lambd,num_epoch,learning_rate_schedule,gamma,time_horizon,hidden_units,num_layers,tau,init_entcoef,steps_per_update
30000,0.247,,0.413,42.112,435.49966032608694,561.97265625,3.4152173913043478,100.3,1471.224609375,1523.59375,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear,0.99,512,512,3,,,
60000,0.264,,0.426,102.596,599.0494914504717,790.890625,1.482075471698113,100.3,1470.2498894457547,1523.59375,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear,0.99,512,512,3,,,
90000,0.49,,0.682,122.264,616.6958395337301,790.890625,1.2468253968253968,100.3,1468.5447978670634,1523.59375,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear,0.99,512,512,3,,,
120000,0.49,,0.709,179.363,656.2903717376373,794.91796875,0.8631868131868131,100.3,1465.76418698489,1523.59375,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear,0.99,512,512,3,,,
150000,0.348,,0.48,239.409,680.781459839876,794.91796875,0.6491735537190082,100.3,1463.8566147985537,1523.59375,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear,0.99,512,512,3,,,
180000,0.264,,0.488,258.849,683.4624341475096,794.91796875,0.6019157088122605,100.3,1463.226098539272,1523.59375,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear,0.99,512,512,3,,,
210000,0.358,,0.668,316.65,694.4554220715409,794.91796875,0.4940251572327044,100.3,1461.7866180227988,1523.59375,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear,0.99,512,512,3,,,
240000,0.331,,0.544,375.958,703.9738167274536,794.91796875,0.416710875331565,100.3,1460.7550874502654,1523.59375,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear,0.99,512,512,3,,,
270000,0.224,,0.525,395.792,704.4155876102016,794.91796875,0.39571788413098236,100.3,1460.4749980321158,1523.59375,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear,0.99,512,512,3,,,
300000,0.782,,1.046,452.498,709.8314966197572,794.91796875,0.3467991169977925,100.3,1459.8223216749448,1523.59375,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear,0.99,512,512,3,,,
330000,0.483,,0.77,514.324,714.5446862840467,794.91796875,0.30564202334630347,100.3,1465.0085040734436,1807.828125,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear,0.99,512,512,3,,,
360000,0.459,,0.762,534.716,713.5009729049625,794.91796875,0.2941947565543071,100.3,1466.4480849133895,1807.828125,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear,0.99,512,512,3,,,
390000,0.525,,0.98,593.77,716.0656750632378,794.91796875,0.26492411467116356,100.3,1469.3638148187183,1807.828125,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear,0.99,512,512,3,,,
420000,0.651,,1.094,655.339,719.3263868979358,794.91796875,0.24021406727828745,100.3,1469.8698573681193,1807.828125,ppo,4096,40960,0.0003,0.005,0.1,0.95,15,linear,0.99,512,512,3,,,
