step,mean_reward,mean_group_reward,std_reward,time_elapsed,memory_usage_avg_mb,memory_usage_peak_mb,cpu_usage_avg_mb,cpu_usage_peak_mb,gpu_usage_avg_mb,gpu_usage_peak_mb,trainer_type,batch_size,buffer_size,learning_rate,beta,epsilon,lambd,num_epoch,learning_rate_schedule,gamma,time_horizon,hidden_units,num_layers,tau,init_entcoef,steps_per_update
30000,0.34,,0.562,47.045,446.7835477941176,537.01171875,2.033333333333333,75.0,1562.2561274509803,1615.4609375,ppo,256,2560,0.0003,0.005,0.1,0.95,3,linear,0.99,128,512,3,,,
60000,0.543,,0.68,72.626,475.32252261513156,537.98828125,1.3644736842105263,75.0,1558.1945929276317,1615.4609375,ppo,256,2560,0.0003,0.005,0.1,0.95,3,linear,0.99,128,512,3,,,
90000,1.365,,1.408,98.4,490.0804610906863,539.40625,1.0166666666666666,75.0,1555.8926930147059,1615.4609375,ppo,256,2560,0.0003,0.005,0.1,0.95,3,linear,0.99,128,512,3,,,
120000,3.398,,2.604,124.178,498.2427673339844,539.40625,0.81015625,75.0,1550.7349243164062,1615.4609375,ppo,256,2560,0.0003,0.005,0.1,0.95,3,linear,0.99,128,512,3,,,
150000,9.486,,5.041,150.014,504.64866727941177,540.515625,0.6777777777777778,75.0,1545.2940155228757,1615.4609375,ppo,256,2560,0.0003,0.005,0.1,0.95,3,linear,0.99,128,512,3,,,
180000,19.181,,11.322,175.714,509.1164891759777,540.515625,0.5793296089385475,75.0,1540.4846368715084,1615.4609375,ppo,256,2560,0.0003,0.005,0.1,0.95,3,linear,0.99,128,512,3,,,
210000,32.343,,14.184,201.741,512.1500459558823,540.515625,0.5083333333333333,75.0,1536.9986596200981,1615.4609375,ppo,256,2560,0.0003,0.005,0.1,0.95,3,linear,0.99,128,512,3,,,
240000,55.801,,15.408,227.483,514.7037364130434,540.515625,0.4508695652173913,75.0,1534.1559442934783,1615.4609375,ppo,256,2560,0.0003,0.005,0.1,0.95,3,linear,0.99,128,512,3,,,
270000,76.027,,19.997,253.259,516.2635569852941,540.515625,0.4066666666666667,75.0,1531.5022058823529,1615.4609375,ppo,256,2560,0.0003,0.005,0.1,0.95,3,linear,0.99,128,512,3,,,
300000,105.604,,20.871,279.064,518.1768099421708,540.515625,0.36903914590747333,75.0,1528.467693505338,1615.4609375,ppo,256,2560,0.0003,0.005,0.1,0.95,3,linear,0.99,128,512,3,,,
330000,144.008,,17.196,304.703,519.8311248978758,540.515625,0.3388888888888889,75.0,1525.8067044526144,1615.4609375,ppo,256,2560,0.0003,0.005,0.1,0.95,3,linear,0.99,128,512,3,,,
360000,161.429,,26.341,330.361,521.2627776731928,540.515625,0.31234939759036146,75.0,1523.4033085466867,1615.4609375,ppo,256,2560,0.0003,0.005,0.1,0.95,3,linear,0.99,128,512,3,,,
390000,160.017,,31.51,356.578,521.8289979050279,540.515625,0.28966480446927373,75.0,1521.3490092527934,1615.4609375,ppo,256,2560,0.0003,0.005,0.1,0.95,3,linear,0.99,128,512,3,,,
420000,192.506,,35.171,382.155,522.4917795365535,540.515625,0.27075718015665795,75.0,1519.6367493472585,1615.4609375,ppo,256,2560,0.0003,0.005,0.1,0.95,3,linear,0.99,128,512,3,,,
450000,229.395,,29.127,407.654,523.1123452781173,540.515625,0.2535452322738386,75.0,1518.078048594132,1615.4609375,ppo,256,2560,0.0003,0.005,0.1,0.95,3,linear,0.99,128,512,3,,,
480000,265.663,,34.615,432.936,523.6245409706221,540.515625,0.23894009216589862,75.0,1516.7554183467741,1615.4609375,ppo,256,2560,0.0003,0.005,0.1,0.95,3,linear,0.99,128,512,3,,,
510000,276.63,,43.279,458.596,524.244578907952,544.0234375,0.22592592592592592,75.0,1515.5768654684096,1615.4609375,ppo,256,2560,0.0003,0.005,0.1,0.95,3,linear,0.99,128,512,3,,,
540000,298.608,,49.467,484.157,525.1752324380166,545.765625,0.21425619834710743,75.0,1514.5200639204545,1615.4609375,ppo,256,2560,0.0003,0.005,0.1,0.95,3,linear,0.99,128,512,3,,,
570000,337.264,,39.455,509.656,525.8301011029412,545.765625,0.20333333333333334,75.0,1513.5308976715687,1615.4609375,ppo,256,2560,0.0003,0.005,0.1,0.95,3,linear,0.99,128,512,3,,,
600000,348.154,,37.248,535.06,526.5091121495327,546.86328125,0.19383177570093457,75.0,1512.6704439252337,1615.4609375,ppo,256,2560,0.0003,0.005,0.1,0.95,3,linear,0.99,128,512,3,,,
630000,379.724,,33.679,560.475,527.1127232142857,547.01953125,0.18517857142857144,75.0,1511.88681640625,1615.4609375,ppo,256,2560,0.0003,0.005,0.1,0.95,3,linear,0.99,128,512,3,,,
660000,383.741,,39.862,586.044,527.7517828525641,547.01953125,0.17726495726495728,75.0,1511.1701655982906,1615.4609375,ppo,256,2560,0.0003,0.005,0.1,0.95,3,linear,0.99,128,512,3,,,
690000,414.396,,35.352,611.569,528.424272452946,547.01953125,0.16972176759410804,75.0,1510.4870601472994,1615.4609375,ppo,256,2560,0.0003,0.005,0.1,0.95,3,linear,0.99,128,512,3,,,
720000,432.546,,34.398,637.133,529.0286089819182,547.01953125,0.1630503144654088,75.0,1509.8828984866352,1615.4609375,ppo,256,2560,0.0003,0.005,0.1,0.95,3,linear,0.99,128,512,3,,,
750000,453.801,,38.591,662.489,529.5909902136914,547.01953125,0.15688350983358548,75.0,1509.3244374054464,1615.4609375,ppo,256,2560,0.0003,0.005,0.1,0.95,3,linear,0.99,128,512,3,,,
780000,478.674,,31.743,687.929,530.0865240069242,547.01953125,0.1511661807580175,75.0,1508.806680484694,1615.4609375,ppo,256,2560,0.0003,0.005,0.1,0.95,3,linear,0.99,128,512,3,,,
810000,500.242,,30.594,713.392,530.5966467696629,547.01953125,0.14564606741573033,75.0,1508.3067832689608,1615.4609375,ppo,256,2560,0.0003,0.005,0.1,0.95,3,linear,0.99,128,512,3,,,
840000,499.678,,42.872,738.932,530.8133056309363,547.01953125,0.1407055630936228,75.0,1507.859375,1615.4609375,ppo,256,2560,0.0003,0.005,0.1,0.95,3,linear,0.99,128,512,3,,,
870000,518.966,,42.263,764.447,531.0164041994751,547.01953125,0.13608923884514437,75.0,1507.4413242290027,1615.4609375,ppo,256,2560,0.0003,0.005,0.1,0.95,3,linear,0.99,128,512,3,,,
900000,542.906,,39.108,789.759,531.2055769536214,547.01953125,0.13176620076238882,75.0,1507.049833227446,1615.4609375,ppo,256,2560,0.0003,0.005,0.1,0.95,3,linear,0.99,128,512,3,,,
930000,562.852,,33.77,815.558,531.3731693957565,547.01953125,0.12755227552275522,75.0,1506.668223400984,1615.4609375,ppo,256,2560,0.0003,0.005,0.1,0.95,3,linear,0.99,128,512,3,,,
960000,571.616,,49.676,841.127,531.5345922210621,547.01953125,0.12374701670644392,75.0,1506.3236220912888,1615.4609375,ppo,256,2560,0.0003,0.005,0.1,0.95,3,linear,0.99,128,512,3,,,
990000,590.332,,33.42,866.622,531.6784065396871,547.01953125,0.12016222479721901,75.0,1505.9989860950175,1615.4609375,ppo,256,2560,0.0003,0.005,0.1,0.95,3,linear,0.99,128,512,3,,,
1020000,619.401,,51.534,892.406,531.8226852502812,547.01953125,0.11664791901012374,75.0,1505.6807332677165,1615.4609375,ppo,256,2560,0.0003,0.005,0.1,0.95,3,linear,0.99,128,512,3,,,
1050000,628.18,,42.76,917.717,531.9615230101203,547.01953125,0.11345733041575493,75.0,1505.3917960202407,1615.4609375,ppo,256,2560,0.0003,0.005,0.1,0.95,3,linear,0.99,128,512,3,,,
1080000,648.075,,52.364,943.209,532.0976645700213,547.01953125,0.11043663471778488,75.0,1505.118244142705,1615.4609375,ppo,256,2560,0.0003,0.005,0.1,0.95,3,linear,0.99,128,512,3,,,
1110000,678.368,,36.959,968.767,532.2208427784974,547.01953125,0.10746113989637306,75.0,1504.8487856217616,1615.4609375,ppo,256,2560,0.0003,0.005,0.1,0.95,3,linear,0.99,128,512,3,,,
1140000,685.447,,40.932,994.327,532.3246330492424,547.01953125,0.10474747474747476,75.0,1504.6030381944445,1615.4609375,ppo,256,2560,0.0003,0.005,0.1,0.95,3,linear,0.99,128,512,3,,,
