step,mean_reward,mean_group_reward,std_reward,time_elapsed,memory_usage_avg_mb,memory_usage_peak_mb,cpu_usage_avg_mb,cpu_usage_peak_mb,gpu_usage_avg_mb,gpu_usage_peak_mb,trainer_type,batch_size,buffer_size,learning_rate,beta,epsilon,lambd,num_epoch,learning_rate_schedule,gamma,time_horizon,hidden_units,num_layers,tau,init_entcoef,steps_per_update
30000,0.319,,0.466,33.225,485.21625434027777,645.609375,4.758333333333334,100.3,1505.1182725694443,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
60000,0.621,,0.735,57.786,540.6777994791667,645.609375,2.855,100.3,1497.8819010416667,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
90000,0.394,,0.371,85.839,569.3147638494319,650.62109375,1.9465909090909093,100.3,1494.3069069602273,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
120000,0.364,,0.481,110.486,580.520499170354,650.62109375,1.515929203539823,100.3,1491.502903761062,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
150000,0.257,,0.326,137.495,588.5069132194244,651.8984375,1.2323741007194244,100.3,1485.7709082733813,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
180000,0.175,,0.33,160.566,592.348861882716,652.03515625,1.0574074074074076,100.3,1474.638454861111,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
210000,0.391,,0.782,183.824,596.3192356418919,652.2890625,0.925945945945946,100.3,1466.0345439189189,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
240000,0.359,,0.54,210.651,600.1227704893868,652.4140625,0.8080188679245284,100.3,1458.3060510023586,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
270000,0.446,,0.625,233.87,601.7867353723404,652.51171875,0.728936170212766,100.3,1453.1232712765957,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
300000,0.378,,0.586,260.634,604.2203065134099,654.02734375,0.6563218390804598,100.3,1448.362966954023,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
330000,0.444,,0.607,283.742,605.8801716549295,654.96484375,0.6031690140845071,100.3,1444.879648987676,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
360000,0.333,,0.702,307.013,607.7173376425081,654.96484375,0.5579804560260587,100.3,1441.9182614006515,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
390000,0.482,,0.655,333.474,609.499625748503,654.96484375,0.512874251497006,100.3,1438.9622707709582,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
420000,0.611,,0.786,356.734,610.4358368347339,654.96484375,0.47983193277310926,100.3,1436.796875,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
450000,0.553,,0.703,383.234,611.672252366188,654.96484375,0.44725848563968673,100.3,1434.6622062663184,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
480000,0.503,,0.561,406.225,612.5623941656404,655.6875,0.4219211822660099,100.3,1433.0017510775863,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
510000,0.673,,0.855,429.503,613.233054705711,655.6875,0.39930069930069934,100.3,1431.5193400349651,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
540000,0.584,,0.775,456.103,614.9224759615385,665.41796875,0.3764835164835165,100.3,1430.0240384615386,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
570000,0.37,,0.57,479.464,616.1586771051255,665.41796875,0.3583682008368201,100.3,1428.8368691161088,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
600000,0.67,,1.182,506.455,617.631025680693,665.41796875,0.33920792079207923,100.3,1427.5812190594058,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
630000,0.732,,0.903,529.631,618.3214962121212,665.41796875,0.3244318181818182,100.3,1426.612881747159,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
660000,0.818,,1.222,556.39,619.3088475857401,665.41796875,0.3092057761732852,100.3,1425.6150581001805,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
690000,1.277,,1.503,579.493,619.7902133882149,665.41796875,0.29688041594454073,100.3,1424.8073277729636,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
720000,0.803,,1.532,602.399,620.7039322916667,665.41796875,0.28550000000000003,100.3,1424.0615234375,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
750000,1.941,,2.275,628.909,621.8916046825079,665.41796875,0.27364217252396167,100.3,1423.284432408147,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
780000,2.283,,2.681,651.842,622.4091330412173,665.41796875,0.263944530046225,100.3,1422.648906972265,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
810000,2.925,,3.111,678.189,623.0834895833333,665.41796875,0.25377777777777777,100.3,1421.982638888889,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
840000,3.793,,5.173,701.15,623.3905354584527,665.41796875,0.24541547277936965,100.3,1421.4346234777936,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
870000,5.019,,5.881,724.013,623.78134765625,667.640625,0.2379166666666667,100.3,1420.9431966145833,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
900000,4.768,,5.78,750.48,624.1928076890897,667.640625,0.22931726907630523,100.3,1420.3796435742972,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
930000,6.062,,6.519,773.467,624.4584586313395,667.640625,0.22275682704811445,100.3,1419.9497114759429,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
960000,8.496,,8.96,800.105,624.8838872094849,667.640625,0.21520100502512565,100.3,1419.4545481312814,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
990000,11.058,,12.998,823.044,625.1203783195971,667.640625,0.20915750915750916,100.3,1419.0584935897436,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
1020000,17.705,,13.552,846.049,625.3725893653389,667.640625,0.20368608799048754,100.3,1418.6999293995243,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
1050000,25.455,,19.55,872.355,625.6762858636101,667.640625,0.19757785467128028,100.3,1418.2996323529412,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
1080000,28.541,,21.964,895.321,625.8853932584269,667.640625,0.19247191011235956,100.3,1417.9650193117977,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
1110000,30.369,,24.237,921.796,626.4776584675218,667.640625,0.18700873362445417,100.3,1417.6069954284935,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
1140000,38.696,,22.981,944.738,626.7074514110756,667.640625,0.18242811501597445,100.3,1417.3068091054313,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
1170000,33.704,,25.89,971.331,627.2859820272021,667.640625,0.17751295336787565,100.3,1416.984698834197,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
1200000,49.838,,28.663,994.187,627.7347150177126,667.640625,0.17338056680161945,100.3,1416.7138869559717,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
1230000,52.193,,29.587,1017.088,628.0648800692384,667.640625,0.16943620178041544,100.3,1416.455396884273,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
1260000,49.079,,28.264,1043.653,628.399831243973,667.640625,0.1651880424300868,100.3,1416.1769979508197,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
1290000,64.624,,29.581,1066.911,628.6341760023585,667.640625,0.16160377358490566,100.3,1415.9421064268868,1540.40625,ppo,2048,20480,3e-05,0.01,0.2,0.95,3,linear,0.99,128,512,3,,,
