step,mean_reward,mean_group_reward,std_reward,time_elapsed,memory_usage_avg_mb,memory_usage_peak_mb,cpu_usage_avg_mb,cpu_usage_peak_mb,gpu_usage_avg_mb,gpu_usage_peak_mb,trainer_type,batch_size,buffer_size,learning_rate,beta,epsilon,lambd,num_epoch,learning_rate_schedule,gamma,time_horizon,hidden_units,num_layers,tau,init_entcoef,steps_per_update
30000,1.003,,1.001,46.47,492.4975286989796,566.1640625,3.495918367346939,100.3,1418.5199298469388,1505.90625,sac,256,500000,0.0003,,,,,constant,0.99,1000,256,2,0.005,1.0,20.0
60000,1.034,,1.366,94.783,544.3219401041666,632.48046875,1.784375,100.3,1411.9193522135417,1505.90625,sac,256,500000,0.0003,,,,,constant,0.99,1000,256,2,0.005,1.0,20.0
90000,0.812,,1.093,143.743,585.7610452586207,701.55078125,1.1813793103448276,100.3,1407.8453125,1505.90625,sac,256,500000,0.0003,,,,,constant,0.99,1000,256,2,0.005,1.0,20.0
120000,0.995,,1.297,192.992,624.0969917847938,768.87890625,0.8829896907216496,100.3,1403.3489449097938,1505.90625,sac,256,500000,0.0003,,,,,constant,0.99,1000,256,2,0.005,1.0,20.0
150000,1.077,,1.002,241.905,658.7220912964876,825.51171875,0.7078512396694215,100.3,1400.5276665805786,1505.90625,sac,256,500000,0.0003,,,,,constant,0.99,1000,256,2,0.005,1.0,20.0
180000,1.738,,1.365,291.121,693.5860314647766,893.5234375,0.588659793814433,100.3,1393.387698668385,1505.90625,sac,256,500000,0.0003,,,,,constant,0.99,1000,256,2,0.005,1.0,20.0
210000,2.155,,1.47,340.396,728.1555032169117,970.76953125,0.5038235294117648,100.3,1388.305721507353,1505.90625,sac,256,500000,0.0003,,,,,constant,0.99,1000,256,2,0.005,1.0,20.0
240000,2.4,,1.544,390.277,762.2327683161953,1033.86328125,0.44035989717223656,100.3,1393.1619135604112,1742.4921875,sac,256,500000,0.0003,,,,,constant,0.99,1000,256,2,0.005,1.0,20.0
270000,1.297,,1.763,441.898,797.3596502130682,1096.31640625,0.38931818181818184,100.3,1404.2315163352273,1742.4921875,sac,256,500000,0.0003,,,,,constant,0.99,1000,256,2,0.005,1.0,20.0
300000,0.228,,0.375,493.093,832.3288330575357,1169.03515625,0.3488798370672098,100.3,1415.7196569501018,1742.4921875,sac,256,500000,0.0003,,,,,constant,0.99,1000,256,2,0.005,1.0,20.0
330000,0.054,,0.142,544.11,867.0925247924354,1239.82421875,0.31605166051660516,100.3,1425.7656826568266,1742.4921875,sac,256,500000,0.0003,,,,,constant,0.99,1000,256,2,0.005,1.0,20.0
360000,0.064,,0.187,596.176,901.5848242516863,1302.265625,0.28887015177065767,100.3,1434.6245981766442,1742.4921875,sac,256,500000,0.0003,,,,,constant,0.99,1000,256,2,0.005,1.0,20.0
390000,0.377,,0.384,647.221,935.9788067740683,1371.046875,0.2659937888198758,100.3,1441.5523522418478,1742.4921875,sac,256,500000,0.0003,,,,,constant,0.99,1000,256,2,0.005,1.0,20.0
420000,2.986,,1.942,699.209,970.2284397482015,1436.84765625,0.24647482014388492,100.3,1447.1075258543165,1742.4921875,sac,256,500000,0.0003,,,,,constant,0.99,1000,256,2,0.005,1.0,20.0
450000,6.942,,1.978,749.979,1004.4769814008043,1510.609375,0.2296246648793566,100.3,1452.3008493213806,1742.4921875,sac,256,500000,0.0003,,,,,constant,0.99,1000,256,2,0.005,1.0,20.0
480000,4.363,,1.988,801.874,1038.6177658406525,1573.109375,0.214930991217064,100.3,1456.7793679422837,1742.4921875,sac,256,500000,0.0003,,,,,constant,0.99,1000,256,2,0.005,1.0,20.0
510000,2.694,,2.612,853.114,1072.9737663988797,1652.609375,0.2020047169811321,100.3,1461.8824946565448,1786.6171875,sac,256,500000,0.0003,,,,,constant,0.99,1000,256,2,0.005,1.0,20.0
540000,0.163,,0.457,906.048,1103.4680859375,1670.03515625,0.19033333333333335,100.3,1465.0049088541666,1786.6171875,sac,256,500000,0.0003,,,,,constant,0.99,1000,256,2,0.005,1.0,20.0
570000,0.019,,0.086,956.844,1129.917089741062,1670.03515625,0.1801261829652997,100.3,1467.4970795544164,1786.6171875,sac,256,500000,0.0003,,,,,constant,0.99,1000,256,2,0.005,1.0,20.0
600000,0.015,,0.038,1008.095,1154.028701766983,1670.03515625,0.17112887112887115,100.3,1468.169709197053,1786.6171875,sac,256,500000,0.0003,,,,,constant,0.99,1000,256,2,0.005,1.0,20.0
630000,0.525,,0.668,1060.405,1177.450505994777,1670.03515625,0.1626780626780627,100.3,1469.644412541548,1786.6171875,sac,256,500000,0.0003,,,,,constant,0.99,1000,256,2,0.005,1.0,20.0
660000,1.278,,1.008,1110.928,1194.9700568053038,1670.03515625,0.15530371713508614,100.3,1470.872177442203,1786.6171875,sac,256,500000,0.0003,,,,,constant,0.99,1000,256,2,0.005,1.0,20.0
690000,8.003,,4.264,1162.779,1212.2902698863636,1670.03515625,0.1483116883116883,100.3,1472.393070211039,1786.6171875,sac,256,500000,0.0003,,,,,constant,0.99,1000,256,2,0.005,1.0,20.0
720000,16.787,,4.22,1214.132,1228.6151938537344,1670.03515625,0.14215767634854773,100.3,1472.6130672977179,1786.6171875,sac,256,500000,0.0003,,,,,constant,0.99,1000,256,2,0.005,1.0,20.0
750000,23.922,,6.969,1266.679,1244.3450520833333,1670.03515625,0.1362768496420048,100.3,1473.2634714349642,1786.6171875,sac,256,500000,0.0003,,,,,constant,0.99,1000,256,2,0.005,1.0,20.0
780000,30.868,,9.622,1318.548,1257.4995404411766,1670.03515625,0.13086325439266616,100.3,1475.1950886888847,1786.6171875,sac,256,500000,0.0003,,,,,constant,0.99,1000,256,2,0.005,1.0,20.0
810000,45.937,,12.754,1370.515,1270.1187040441177,1670.03515625,0.1259558823529412,100.3,1475.5542250689339,1786.6171875,sac,256,500000,0.0003,,,,,constant,0.99,1000,256,2,0.005,1.0,20.0
840000,53.216,,13.144,1423.475,1283.4068001371197,1670.03515625,0.12123142250530787,100.3,1475.2959544187897,1786.6171875,sac,256,500000,0.0003,,,,,constant,0.99,1000,256,2,0.005,1.0,20.0
870000,65.063,,9.796,1475.101,1293.866675204918,1670.03515625,0.11700819672131148,100.3,1478.1486589608949,1786.6171875,sac,256,500000,0.0003,,,,,constant,0.99,1000,256,2,0.005,1.0,20.0
900000,80.291,,11.262,1525.191,1303.1520003717778,1670.03515625,0.11321877065432916,100.3,1479.7201828940847,1786.6171875,sac,256,500000,0.0003,,,,,constant,0.99,1000,256,2,0.005,1.0,20.0
930000,91.979,,16.576,1576.719,1312.846597266624,1670.03515625,0.10952685421994886,100.3,1480.5091487172315,1786.6171875,sac,256,500000,0.0003,,,,,constant,0.99,1000,256,2,0.005,1.0,20.0
960000,117.536,,21.117,1628.367,1323.0412646000927,1670.03515625,0.10600247524752476,100.3,1480.7346046372215,1786.6171875,sac,256,500000,0.0003,,,,,constant,0.99,1000,256,2,0.005,1.0,20.0
990000,146.243,,21.698,1679.469,1331.3022630927371,1670.03515625,0.10282112845138056,100.3,1481.5906995610744,1786.6171875,sac,256,500000,0.0003,,,,,constant,0.99,1000,256,2,0.005,1.0,20.0
1020000,172.379,,24.922,1731.359,1339.5225075487485,1670.03515625,0.09970896391152503,100.3,1482.986869270227,1786.6171875,sac,256,500000,0.0003,,,,,constant,0.99,1000,256,2,0.005,1.0,20.0
1050000,171.111,,28.436,1782.552,1347.2737910067874,1670.03515625,0.09688914027149322,100.3,1483.168430518241,1786.6171875,sac,256,500000,0.0003,,,,,constant,0.99,1000,256,2,0.005,1.0,20.0
1080000,214.252,,31.608,1835.154,1355.0663375686813,1670.03515625,0.09412087912087913,100.3,1484.21100832761,1786.6171875,sac,256,500000,0.0003,,,,,constant,0.99,1000,256,2,0.005,1.0,20.0
1110000,240.176,,38.359,1885.239,1361.8501817346257,1670.03515625,0.09160427807486632,100.3,1483.521304729278,1786.6171875,sac,256,500000,0.0003,,,,,constant,0.99,1000,256,2,0.005,1.0,20.0
1140000,279.647,,27.72,1936.431,1368.664729470328,1670.03515625,0.08917230609057783,100.3,1484.672592806481,1786.6171875,sac,256,500000,0.0003,,,,,constant,0.99,1000,256,2,0.005,1.0,20.0
1170000,272.409,,47.464,1988.217,1372.7325823244169,1670.03515625,0.08686612576064909,100.3,1484.86800559394,1786.6171875,sac,256,500000,0.0003,,,,,constant,0.99,1000,256,2,0.005,1.0,20.0
1200000,347.846,,45.408,2039.203,1374.4710439322787,1670.03515625,0.08467622343054869,100.3,1484.6849260844044,1786.6171875,sac,256,500000,0.0003,,,,,constant,0.99,1000,256,2,0.005,1.0,20.0
1230000,364.573,,41.382,2091.133,1375.9771482491562,1670.03515625,0.0825940212150434,100.3,1485.6872005333896,1786.6171875,sac,256,500000,0.0003,,,,,constant,0.99,1000,256,2,0.005,1.0,20.0
1260000,398.648,,31.726,2141.946,1377.6738998499293,1670.03515625,0.0806497175141243,100.3,1486.0183597428202,1786.6171875,sac,256,500000,0.0003,,,,,constant,0.99,1000,256,2,0.005,1.0,20.0
1290000,432.255,,45.576,2193.744,1379.8067842371324,1670.03515625,0.07872242647058825,100.3,1486.6241078096277,1786.6171875,sac,256,500000,0.0003,,,,,constant,0.99,1000,256,2,0.005,1.0,20.0
1320000,427.669,,51.629,2244.478,1381.2559506261232,1670.03515625,0.07695417789757412,100.3,1486.5691490481806,1786.6171875,sac,256,500000,0.0003,,,,,constant,0.99,1000,256,2,0.005,1.0,20.0
1350000,430.415,,52.777,2294.757,1381.8043751373023,1670.03515625,0.07526362038664323,100.3,1486.6333771556458,1786.6171875,sac,256,500000,0.0003,,,,,constant,0.99,1000,256,2,0.005,1.0,20.0
1380000,432.018,,57.5,2346.877,1382.3923523447572,1670.03515625,0.0736140954018049,100.3,1486.573661433713,1786.6171875,sac,256,500000,0.0003,,,,,constant,0.99,1000,256,2,0.005,1.0,20.0
1410000,474.285,,67.194,2398.804,1382.862200832808,1670.03515625,0.07200504413619169,100.3,1487.4382668006515,1786.6171875,sac,256,500000,0.0003,,,,,constant,0.99,1000,256,2,0.005,1.0,20.0
1440000,477.645,,66.875,2449.492,1382.933905735385,1670.03515625,0.07052284890901606,100.3,1487.7330193109303,1786.6171875,sac,256,500000,0.0003,,,,,constant,0.99,1000,256,2,0.005,1.0,20.0
1470000,478.772,,72.217,2501.628,1383.1928090991535,1670.03515625,0.0690447400241838,100.3,1488.1502528592302,1786.6171875,sac,256,500000,0.0003,,,,,constant,0.99,1000,256,2,0.005,1.0,20.0
1500000,513.092,,53.26,2552.535,1383.7040834279928,1670.03515625,0.06768075859344133,100.3,1487.683402373074,1786.6171875,sac,256,500000,0.0003,,,,,constant,0.99,1000,256,2,0.005,1.0,20.0
1530000,501.004,,74.015,2604.707,1383.876076751839,1670.03515625,0.06631823461091754,100.3,1487.728430180507,1786.6171875,sac,256,500000,0.0003,,,,,constant,0.99,1000,256,2,0.005,1.0,20.0
1560000,523.762,,62.48,2655.597,1384.0612270936194,1670.03515625,0.06505886821116598,100.3,1488.4825872934864,1786.6171875,sac,256,500000,0.0003,,,,,constant,0.99,1000,256,2,0.005,1.0,20.0
1590000,518.433,,76.584,2706.457,1384.42984474003,1670.03515625,0.06384644055162132,100.3,1489.466486034756,1786.6171875,sac,256,500000,0.0003,,,,,constant,0.99,1000,256,2,0.005,1.0,20.0
1620000,541.695,,64.4,2759.156,1384.9745893868787,1670.03515625,0.06260964912280702,100.3,1489.706784253929,1786.6171875,sac,256,500000,0.0003,,,,,constant,0.99,1000,256,2,0.005,1.0,20.0
1650000,544.838,,53.112,2810.107,1385.099629004397,1670.03515625,0.061486001435750184,100.3,1490.1685183731156,1786.6171875,sac,256,500000,0.0003,,,,,constant,0.99,1000,256,2,0.005,1.0,20.0
1680000,541.871,,68.798,2861.124,1385.3864158331864,1670.03515625,0.060380683820937614,100.3,1491.4386538376807,1786.6171875,sac,256,500000,0.0003,,,,,constant,0.99,1000,256,2,0.005,1.0,20.0
1710000,543.081,,71.097,2914.105,1385.7374578141225,1670.03515625,0.05929387331256491,100.3,1492.322208160263,1786.6171875,sac,256,500000,0.0003,,,,,constant,0.99,1000,256,2,0.005,1.0,20.0
1740000,555.129,,77.45,2966.94,1385.849576833985,1670.03515625,0.05824549472968379,100.3,1493.3683762431997,1786.6171875,sac,256,500000,0.0003,,,,,constant,0.99,1000,256,2,0.005,1.0,20.0
1770000,589.526,,53.035,3019.415,1385.6470109944037,1670.03515625,0.057233544938189114,100.3,1495.0156041179418,1786.6171875,sac,256,500000,0.0003,,,,,constant,0.99,1000,256,2,0.005,1.0,20.0
1800000,589.99,,47.125,3070.74,1385.6348772688075,1670.03515625,0.05627463863337714,100.3,1496.9572211727989,1786.6171875,sac,256,500000,0.0003,,,,,constant,0.99,1000,256,2,0.005,1.0,20.0
1830000,570.558,,71.87,3120.937,1385.8280277856336,1670.03515625,0.05536522301228184,100.3,1498.3476082740788,1786.6171875,sac,256,500000,0.0003,,,,,constant,0.99,1000,256,2,0.005,1.0,20.0
1860000,598.469,,52.638,3172.763,1385.8329950814784,1670.03515625,0.054467408585055645,100.3,1497.523685910175,1786.6171875,sac,256,500000,0.0003,,,,,constant,0.99,1000,256,2,0.005,1.0,20.0
1890000,614.133,,50.23,3222.556,1385.8427939162755,1670.03515625,0.05361502347417841,100.3,1496.6811399647888,1786.6171875,sac,256,500000,0.0003,,,,,constant,0.99,1000,256,2,0.005,1.0,20.0
1920000,615.059,,75.669,3273.598,1386.0154612865947,1670.03515625,0.052788906009245,100.3,1495.8278818374422,1786.6171875,sac,256,500000,0.0003,,,,,constant,0.99,1000,256,2,0.005,1.0,20.0
1950000,617.256,,58.819,3324.262,1386.3094271623672,1670.03515625,0.05198786039453718,100.3,1494.9692218323216,1786.6171875,sac,256,500000,0.0003,,,,,constant,0.99,1000,256,2,0.005,1.0,20.0
1980000,631.774,,68.835,3375.143,1386.1310088071577,1670.03515625,0.05119545726240287,100.3,1493.982719571877,1786.6171875,sac,256,500000,0.0003,,,,,constant,0.99,1000,256,2,0.005,1.0,20.0
2010000,662.657,,41.095,3425.648,1386.1148927506626,1670.03515625,0.05044169611307421,100.3,1492.9133700493228,1786.6171875,sac,256,500000,0.0003,,,,,constant,0.99,1000,256,2,0.005,1.0,20.0
2040000,653.944,,64.143,3475.1,1386.3083329553701,1670.03515625,0.04972423802612482,100.3,1492.0434619920175,1786.6171875,sac,256,500000,0.0003,,,,,constant,0.99,1000,256,2,0.005,1.0,20.0
2070000,631.103,,67.084,3526.551,1386.6760695258868,1670.03515625,0.04899885583524028,100.3,1491.0805183602688,1786.6171875,sac,256,500000,0.0003,,,,,constant,0.99,1000,256,2,0.005,1.0,20.0
2100000,635.388,,52.145,3576.297,1387.0242352785613,1670.03515625,0.04832157968970381,100.3,1490.1798770275036,1786.6171875,sac,256,500000,0.0003,,,,,constant,0.99,1000,256,2,0.005,1.0,20.0
2130000,649.731,,62.789,3626.638,1387.4034357614742,1670.03515625,0.04764951321279555,100.3,1489.286163508345,1786.6171875,sac,256,500000,0.0003,,,,,constant,0.99,1000,256,2,0.005,1.0,20.0
2160000,654.437,,59.595,3676.11,1387.8151038093442,1670.03515625,0.047008781558726676,100.3,1488.4341190141329,1786.6171875,sac,256,500000,0.0003,,,,,constant,0.99,1000,256,2,0.005,1.0,20.0
2190000,643.489,,51.047,3726.313,1387.8640077236735,1670.03515625,0.04637249593936113,100.3,1487.5493431070656,1786.6171875,sac,256,500000,0.0003,,,,,constant,0.99,1000,256,2,0.005,1.0,20.0
