step,mean_reward,mean_group_reward,std_reward,time_elapsed,run_id,environment,algorithm,memory_usage_avg_mb,memory_usage_peak_mb,cpu_usage_avg_mb,cpu_usage_peak_mb,gpu_usage_avg_mb,gpu_usage_peak_mb
30000,0.728,,0.792,68.305,worm_sac_run1,unknown,sac,531.0590160472973,629.6328125,1.545945945945946,86.0,469.8478146114865,548.12890625
60000,1.176,,1.115,144.534,worm_sac_run1,unknown,sac,601.1697395833334,706.3984375,0.7626666666666667,86.0,468.24658854166665,548.12890625
90000,0.48,,0.667,221.427,worm_sac_run1,unknown,sac,645.6202641039823,758.484375,0.5061946902654868,86.0,467.72229327986724,548.12890625
120000,0.783,,0.954,298.297,worm_sac_run1,unknown,sac,684.355649834437,836.1796875,0.3788079470198676,86.0,467.46188172599335,548.12890625
150000,0.852,,0.893,374.791,worm_sac_run1,unknown,sac,719.3751343419312,887.9375,0.30264550264550266,86.0,467.3061859292328,548.12890625
180000,0.78,,0.883,452.839,worm_sac_run1,unknown,sac,754.5823059752747,960.12109375,0.25142857142857145,86.0,467.2014852335165,548.12890625
210000,1.019,,1.021,530.435,worm_sac_run1,unknown,sac,790.7070239074249,1034.74609375,0.21503759398496242,86.0,467.12709263392856,548.12890625
240000,1.164,,1.072,607.99,worm_sac_run1,unknown,sac,826.5875346366995,1105.29296875,0.1878489326765189,86.0,467.07151195607554,548.12890625
270000,1.326,,1.628,685.809,worm_sac_run1,unknown,sac,861.7435484238338,1163.671875,0.16676384839650146,86.0,467.0284085732507,548.12890625
300000,1.865,,1.424,763.444,worm_sac_run1,unknown,sac,896.5517386140236,1240.79296875,0.14993446920052425,86.0,466.9940049557667,548.12890625
330000,1.483,,1.551,840.867,worm_sac_run1,unknown,sac,930.7080415673421,1298.85546875,0.1363528009535161,86.0,466.96624050208584,548.12890625
360000,2.792,,2.967,918.818,worm_sac_run1,unknown,sac,965.6361820133587,1377.7421875,0.12475463467829881,86.0,466.9425308410578,548.12890625
390000,3.338,,3.404,996.008,worm_sac_run1,unknown,sac,999.391372419436,1431.5546875,0.11520644511581069,86.0,466.9230118643001,548.12890625
420000,3.673,,2.861,1074.45,worm_sac_run1,unknown,sac,1033.825021154295,1503.39453125,0.10681605975723624,86.0,466.90585973972924,548.12890625
450000,6.081,,5.603,1151.968,worm_sac_run1,unknown,sac,1067.7833936737804,1581.44140625,0.09965156794425088,86.0,466.8912136596254,548.12890625
480000,10.196,,5.711,1230.696,worm_sac_run1,unknown,sac,1101.8118659512643,1629.8671875,0.09331158238172921,86.0,466.87825308421696,548.12890625
510000,15.128,,8.042,1309.182,worm_sac_run1,unknown,sac,1135.8096130324252,1715.2265625,0.08779739063699156,86.0,466.86698064562546,548.12890625
540000,24.428,,15.219,1388.346,worm_sac_run1,unknown,sac,1166.085242176194,1739.39453125,0.08277858176555716,86.0,466.85672089815483,548.12890625
570000,19.473,,10.555,1465.482,worm_sac_run1,unknown,sac,1191.4755470893347,1739.39453125,0.07846364883401921,86.0,466.847900055727,548.12890625
600000,47.958,,16.846,1542.438,worm_sac_run1,unknown,sac,1215.281779661017,1739.39453125,0.07457627118644068,86.0,466.83995324722946,548.12890625
630000,69.206,,38.119,1621.624,worm_sac_run1,unknown,sac,1238.6699182424054,1739.39453125,0.07092374457532548,86.0,466.8324865351829,548.12890625
660000,68.491,,17.754,1698.974,worm_sac_run1,unknown,sac,1257.048059132623,1739.39453125,0.06773238602723505,86.0,466.82596257030787,548.12890625
690000,95.344,,21.519,1777.23,worm_sac_run1,unknown,sac,1275.124792197227,1739.39453125,0.06474250141482739,86.0,466.8198504704301,548.12890625
720000,116.824,,39.063,1854.126,worm_sac_run1,unknown,sac,1291.7747409963374,1739.39453125,0.062072707542051006,86.0,466.81439271907215,548.12890625
750000,135.994,,19.775,1943.521,worm_sac_run1,unknown,sac,1310.0373924365942,1739.39453125,0.05921325051759835,86.0,472.5830482498706,758.88671875
780000,212.863,,45.892,2041.493,worm_sac_run1,unknown,sac,1326.289320478068,1739.39453125,0.05638245441103992,86.0,480.0716408945293,758.88671875
810000,199.433,,46.443,2124.915,worm_sac_run1,unknown,sac,1339.6659221784698,1739.39453125,0.054192325911890105,86.0,486.88857472761725,805.71875
840000,274.057,,78.319,2222.247,worm_sac_run1,unknown,sac,1352.1569205021513,1739.39453125,0.051811594202898555,86.0,499.98935865319294,978.79296875
870000,296.486,,43.738,2316.347,worm_sac_run1,unknown,sac,1358.0418126629727,1739.39453125,0.04971751412429379,86.0,510.010735821382,1150.6953125
900000,324.835,,38.238,2405.624,worm_sac_run1,unknown,sac,1363.152132910565,1739.39453125,0.04786610878661088,86.0,520.0312467311716,1150.6953125
930000,330.733,,55.423,2488.484,worm_sac_run1,unknown,sac,1367.5028838617516,1739.39453125,0.046278317152103565,86.0,524.5126889917071,1150.6953125
960000,397.967,,45.059,2577.33,worm_sac_run1,unknown,sac,1372.5993194580078,1739.39453125,0.044687500000000005,86.0,530.4243133544921,1150.6953125
990000,421.523,,46.874,2668.452,worm_sac_run1,unknown,sac,1376.5342706761598,1739.39453125,0.043153526970954356,86.0,536.4520773410977,1150.6953125
1020000,462.383,,73.577,2762.279,worm_sac_run1,unknown,sac,1379.040665429118,1739.39453125,0.041690962099125366,86.0,544.031241458637,1150.6953125
1050000,452.435,,43.889,2845.462,worm_sac_run1,unknown,sac,1381.4974760040693,1739.39453125,0.04048124557678698,86.0,549.687400477707,1150.6953125
1080000,521.391,,57.504,2930.373,worm_sac_run1,unknown,sac,1384.160269007732,1739.39453125,0.039312714776632306,86.0,555.1402545103093,1150.6953125
1110000,587.924,,45.476,3013.761,worm_sac_run1,unknown,sac,1385.4524567741396,1739.39453125,0.038222519211493486,86.0,560.2275635336619,1150.6953125
1140000,609.865,,42.733,3096.158,worm_sac_run1,unknown,sac,1385.8107451101985,1739.39453125,0.03721535458685751,86.0,564.9274154196487,1150.6953125
1170000,640.691,,56.507,3179.82,worm_sac_run1,unknown,sac,1386.7502685005543,1739.39453125,0.03623693379790941,86.0,569.4931365319133,1150.6953125
1200000,662.5,,44.077,3273.361,worm_sac_run1,unknown,sac,1387.1882235576923,1739.39453125,0.0352,86.0,574.7228269230769,1150.6953125
1230000,680.467,,60.246,3369.139,worm_sac_run1,unknown,sac,1387.0638336136024,1739.39453125,0.03420029895366218,86.0,580.6934510463378,1150.6953125
1260000,691.27,,35.629,3468.197,worm_sac_run1,unknown,sac,1387.2292547832558,1739.39453125,0.033226837060702875,86.0,585.5983415172088,1150.6953125
1290000,739.626,,51.708,3560.818,worm_sac_run1,unknown,sac,1387.8915819483734,1739.39453125,0.03236209335219237,86.0,588.4924493900282,1150.6953125
1320000,755.895,,46.954,3652.496,worm_sac_run1,unknown,sac,1388.8412851627138,1739.39453125,0.03154991726420298,86.0,591.3246895253034,1150.6953125
1350000,786.559,,43.682,3745.22,worm_sac_run1,unknown,sac,1389.6034231693786,1739.39453125,0.03076923076923077,86.0,596.3021754387439,1150.6953125
1380000,775.857,,50.948,3846.839,worm_sac_run1,unknown,sac,1390.6732531348218,1739.39453125,0.02996333158721844,86.0,601.9809710990702,1150.6953125
1410000,806.941,,53.146,3941.147,worm_sac_run1,unknown,sac,1391.6127100907465,1739.39453125,0.029243353783231084,86.0,606.1043993241948,1150.6953125
1440000,834.546,,45.571,4024.8,worm_sac_run1,unknown,sac,1392.2127522684605,1739.39453125,0.02863579474342929,86.0,609.8736037234042,1150.6953125
1470000,834.895,,62.679,4108.154,worm_sac_run1,unknown,sac,1392.836783518825,1739.39453125,0.0280598479273976,86.0,613.4915053194751,1150.6953125
1500000,852.76,,58.669,4190.73,worm_sac_run1,unknown,sac,1393.7431549050252,1739.39453125,0.02750661216638615,86.0,616.9667438086078,1150.6953125
